dataset,method,protocol,budget,seed,weighted_f1,macro_f1,macro_precision,macro_recall,rmse,mae,nrmse_mean,realized_bandwidth,transmitted_values,transmitted_payload_bytes,budget_excess,max_window_budget_excess,elapsed_s,binary_precision,binary_recall,binary_f1,binary_fpr,binary_specificity,binary_event_recall,binary_mean_detection_delay,binary_median_detection_delay,binary_false_alarm_events,binary_false_alarms_per_1000,binary_n_events
tep,PCA-Triage,method_retrained,0.5,42,0.6906835979268245,0.6997877092666057,0.7161941303390792,0.6910108585108584,0.2618501937622929,0.1037349360117,0.09928429180268632,0.5,1365000,5460000,0.0,0.0,4.2668641249183565,0.9620468611847922,0.9048440748440748,0.9325691022069852,0.3902272727272727,0.6097727272727272,1.0,2.45,1.5,472.0,8.99047619047619,100.0
tep,PCA-Triage,fixed_full_data,0.5,42,0.6776744154775272,0.6880770704521877,0.6969605087981386,0.6923092448092449,0.2618501937622929,0.1037349360117,0.09928429180268632,0.5,1365000,5460000,0.0,0.0,4.540820249938406,0.9405823767049318,0.9777754677754678,0.9588183727141139,0.6752272727272727,0.32477272727272727,1.0,0.2,0.0,377.0,7.180952380952381,100.0
tep,Variance,method_retrained,0.5,42,0.6857927560374582,0.6947033523675801,0.710736465794831,0.686462028962029,0.25617972694760405,0.0994208686667142,0.10023920387587845,0.5,1365000,5460000,0.0,0.0,3.514135207980871,0.9633478725298202,0.89997920997921,0.9305860097166688,0.3743181818181818,0.6256818181818182,1.0,3.0,1.0,437.0,8.323809523809524,100.0
tep,Variance,fixed_full_data,0.5,42,0.6793156952941657,0.6898480844941843,0.6978111188093884,0.6959234234234235,0.25617972694760405,0.0994208686667142,0.10023920387587845,0.5,1365000,5460000,0.0,0.0,3.6953971659531817,0.9404074125902085,0.978004158004158,0.9588373775771226,0.6775,0.3225,1.0,0.2,0.0,353.0,6.723809523809524,100.0
tep,Threshold,method_retrained,0.5,42,0.6488804027435852,0.6566411876421379,0.67596756178628,0.6496225846225846,0.3504231264484305,0.13797785153544012,0.12258773633530852,0.5,1365000,5460000,0.0,0.0,2.921504750032909,0.9672513017265004,0.8805405405405405,0.9218613964826745,0.3259090909090909,0.6740909090909091,1.0,4.78,2.0,291.0,5.542857142857143,100.0
tep,Threshold,fixed_full_data,0.5,42,0.6502003633327983,0.6599704714551591,0.670121729904359,0.6712432387432388,0.3504231264484305,0.13797785153544012,0.12258773633530852,0.5,1365000,5460000,0.0,0.0,3.0693092920118943,0.9388659302233172,0.9824324324324324,0.9601552340702211,0.6993181818181818,0.30068181818181816,1.0,0.2,0.0,300.0,5.714285714285714,100.0
tep,Uniform,method_retrained,0.5,42,0.7047807833432301,0.71432148174596,0.7293743020794141,0.7061627786627787,0.4761142170076897,0.1752134384591659,0.10481887600516693,0.5,1365000,5460000,0.0,0.0,3.4322487090248615,0.9602465196581944,0.9134719334719335,0.9362753976794486,0.4134090909090909,0.586590909090909,1.0,2.28,1.0,501.0,9.542857142857143,100.0
tep,Uniform,fixed_full_data,0.5,42,0.6863595867824005,0.6976436210895847,0.7115986485861517,0.6989196164196165,0.4761142170076897,0.1752134384591659,0.10481887600516693,0.5,1365000,5460000,0.0,0.0,3.5980930000077933,0.9396563793827629,0.9767151767151767,0.9578274564971406,0.6856818181818182,0.31431818181818183,1.0,0.2,0.0,358.0,6.819047619047619,100.0
tep,Full Data,method_retrained,1.0,42,0.727711364483341,0.7397165436481575,0.7503509420555385,0.7373074448074449,0.0,0.0,0.0,1.0,2730000,10920000,0.0,0.0,2.747009666985832,0.9418936289869044,0.9749480249480249,0.9581358287021903,0.6575,0.3425,1.0,0.36,0.0,457.0,8.704761904761904,100.0
tep,Full Data,fixed_full_data,1.0,42,0.727711364483341,0.7397165436481575,0.7503509420555385,0.7373074448074449,0.0,0.0,0.0,1.0,2730000,10920000,0.0,0.0,2.9263537090737373,0.9418936289869044,0.9749480249480249,0.9581358287021903,0.6575,0.3425,1.0,0.36,0.0,457.0,8.704761904761904,100.0
tep,PCA-Triage,method_retrained,0.5,123,0.6894931578821168,0.6981681249432119,0.713958134612348,0.688846513846514,0.26450815243750136,0.10407291366819257,0.09920863664658956,0.5,1365000,5460000,0.0,0.0,4.099903417052701,0.9631183745583038,0.9066528066528067,0.9340329835082459,0.3795454545454545,0.6204545454545455,1.0,1.83,1.0,479.0,9.123809523809523,100.0
tep,PCA-Triage,fixed_full_data,0.5,123,0.6804039168970224,0.6912790134727845,0.6995220549252471,0.695950355950356,0.26450815243750136,0.10407291366819257,0.09920863664658956,0.5,1365000,5460000,0.0,0.0,4.266501332982443,0.9402111843555271,0.9755717255717256,0.957565121570468,0.6781818181818182,0.32181818181818184,1.0,0.16,0.0,367.0,6.9904761904761905,100.0
