dataset,method,protocol,budget,seed,fault_type,exact_fault_recall,binary_precision,binary_recall,binary_f1,binary_fpr,binary_specificity,binary_event_recall,binary_mean_detection_delay,binary_median_detection_delay,binary_false_alarm_events,binary_false_alarms_per_1000,binary_n_events
tep,PCA-Triage,method_retrained,0.5,42,1,0.9808731808731809,0.9970821175489787,0.9945945945945946,0.9958368026644463,0.07368421052631578,0.9263157894736842,1.0,1.8,2.0,3.0,1.2,5.0
tep,PCA-Triage,method_retrained,0.5,42,2,0.9700623700623701,0.9957859249894648,0.9825363825363825,0.9891167852658016,0.10526315789473684,0.8947368421052632,1.0,3.6,2.0,6.0,2.4,5.0
tep,PCA-Triage,method_retrained,0.5,42,3,0.2153846153846154,0.9923906150919467,0.6507276507276507,0.7860371672526368,0.12631578947368421,0.8736842105263158,1.0,4.2,1.0,6.0,2.4,5.0
tep,PCA-Triage,method_retrained,0.5,42,4,0.977962577962578,0.9966763606148733,0.9975051975051975,0.9970906068162926,0.08421052631578947,0.9157894736842105,1.0,1.2,1.0,6.0,2.4,5.0
tep,PCA-Triage,method_retrained,0.5,42,5,0.7338877338877339,0.9951733216322949,0.9430353430353431,0.968403074295474,0.11578947368421053,0.8842105263157894,1.0,1.0,1.0,6.0,2.4,5.0
tep,PCA-Triage,method_retrained,0.5,42,6,0.9975051975051975,0.9958523434259643,0.9983367983367983,0.997093023255814,0.10526315789473684,0.8947368421052632,1.0,0.6,1.0,5.0,2.0,5.0
tep,PCA-Triage,method_retrained,0.5,42,7,0.995010395010395,0.9966791199667911,0.9983367983367983,0.997507270461155,0.08421052631578947,0.9157894736842105,1.0,0.8,1.0,4.0,1.6,5.0
tep,PCA-Triage,method_retrained,0.5,42,8,0.8054054054054054,0.9961620469083156,0.9713097713097714,0.983578947368421,0.09473684210526316,0.9052631578947369,1.0,3.2,4.0,3.0,1.2,5.0
tep,PCA-Triage,method_retrained,0.5,42,9,0.14303534303534304,0.9933774834437086,0.6237006237006237,0.7662835249042146,0.10526315789473684,0.8947368421052632,1.0,4.6,2.0,3.0,1.2,5.0
tep,PCA-Triage,method_retrained,0.5,42,10,0.5817047817047817,0.9968282736746715,0.9147609147609148,0.9540329575021682,0.07368421052631578,0.9263157894736842,1.0,2.6,1.0,5.0,2.0,5.0
tep,PCA-Triage,method_retrained,0.5,42,11,0.6856548856548856,0.9950936663693131,0.9276507276507276,0.9601893694856897,0.11578947368421053,0.8842105263157894,1.0,2.4,3.0,4.0,1.6,5.0
tep,PCA-Triage,method_retrained,0.5,42,12,0.7542619542619543,0.9966457023060796,0.9883575883575884,0.9924843423799582,0.08421052631578947,0.9157894736842105,1.0,2.8,1.0,4.0,1.6,5.0
tep,PCA-Triage,method_retrained,0.5,42,13,0.6972972972972973,0.9961190168175937,0.9604989604989606,0.9779847586790855,0.09473684210526316,0.9052631578947369,1.0,3.2,4.0,6.0,2.4,5.0
tep,PCA-Triage,method_retrained,0.5,42,14,0.9621621621621622,0.9979184013322231,0.9966735966735967,0.9972956105679218,0.05263157894736842,0.9473684210526315,1.0,1.6,2.0,2.0,0.8,5.0
tep,PCA-Triage,method_retrained,0.5,42,15,0.12557172557172558,0.9921925829538061,0.6340956340956341,0.7737189244038559,0.12631578947368421,0.8736842105263158,1.0,2.0,2.0,4.0,1.6,5.0
tep,PCA-Triage,method_retrained,0.5,42,16,0.48523908523908527,0.9971724787935909,0.8798336798336799,0.9348354318533245,0.06315789473684211,0.9368421052631579,1.0,4.2,1.0,3.0,1.2,5.0
tep,PCA-Triage,method_retrained,0.5,42,17,0.7904365904365904,0.9956255468066492,0.9463617463617464,0.9703687913024941,0.10526315789473684,0.8947368421052632,1.0,4.0,0.0,3.0,1.2,5.0
tep,PCA-Triage,method_retrained,0.5,42,18,0.8182952182952183,0.9938515590689504,0.940956340956341,0.9666809055958991,0.14736842105263157,0.8526315789473684,1.0,1.0,1.0,8.0,3.2,5.0
tep,PCA-Triage,method_retrained,0.5,42,19,0.5284823284823285,0.9951620706337687,0.8553014553014553,0.9199463327370304,0.10526315789473684,0.8947368421052632,1.0,1.8,2.0,4.0,1.6,5.0
tep,PCA-Triage,method_retrained,0.5,42,20,0.6532224532224532,0.9949003245248029,0.8923076923076924,0.9408154318281455,0.11578947368421053,0.8842105263157894,1.0,2.4,2.0,4.0,1.6,5.0
tep,PCA-Triage,fixed_full_data,0.5,42,1,0.9796257796257797,0.9856144677353063,0.9970893970893971,0.9913187267465895,0.3684210526315789,0.631578947368421,1.0,0.2,0.0,4.0,1.6,5.0
tep,PCA-Triage,fixed_full_data,0.5,42,2,0.9700623700623701,0.9835931091058244,0.9970893970893971,0.9902952715259137,0.42105263157894735,0.5789473684210527,1.0,0.6,0.0,8.0,3.2,5.0
tep,PCA-Triage,fixed_full_data,0.5,42,3,0.10977130977130978,0.9814479638009049,0.9018711018711019,0.9399783315276273,0.43157894736842106,0.5684210526315789,1.0,0.0,0.0,15.0,6.0,5.0
tep,PCA-Triage,fixed_full_data,0.5,42,4,0.9721413721413722,0.9864532019704434,0.9991683991683992,0.992770088824623,0.3473684210526316,0.6526315789473685,1.0,0.4,0.0,18.0,7.2,5.0
tep,PCA-Triage,fixed_full_data,0.5,42,5,0.8395010395010395,0.9831552999178307,0.995010395010395,0.989047323827237,0.43157894736842106,0.5684210526315789,1.0,0.0,0.0,5.0,2.0,5.0
tep,PCA-Triage,fixed_full_data,0.5,42,6,0.9975051975051975,0.9824346405228758,1.0,0.9911395013393777,0.45263157894736844,0.5473684210526316,1.0,0.0,0.0,10.0,4.0,5.0
tep,PCA-Triage,fixed_full_data,0.5,42,7,0.995010395010395,0.984036021285305,0.9995841995841996,0.9917491749174917,0.4105263157894737,0.5894736842105263,1.0,0.2,0.0,12.0,4.8,5.0
tep,PCA-Triage,fixed_full_data,0.5,42,8,0.817047817047817,0.9835051546391752,0.9916839916839917,0.9875776397515528,0.42105263157894735,0.5789473684210527,1.0,0.2,0.0,9.0,3.6,5.0
tep,PCA-Triage,fixed_full_data,0.5,42,9,0.17214137214137215,0.9824086603518268,0.9056133056133057,0.9424491562094331,0.4105263157894737,0.5894736842105263,1.0,0.2,0.0,9.0,3.6,5.0
tep,PCA-Triage,fixed_full_data,0.5,42,10,0.6353430353430354,0.9870779491454773,0.9846153846153847,0.9858451290591174,0.3263157894736842,0.6736842105263158,1.0,0.0,0.0,10.0,4.0,5.0
tep,PCA-Triage,fixed_full_data,0.5,42,11,0.7172557172557172,0.9817275747508306,0.982952182952183,0.9823394971950966,0.4631578947368421,0.5368421052631579,1.0,0.4,0.0,5.0,2.0,5.0
tep,PCA-Triage,fixed_full_data,0.5,42,12,0.7338877338877339,0.9852277390233894,0.9983367983367983,0.9917389508467576,0.37894736842105264,0.6210526315789474,1.0,0.2,0.0,7.0,2.8,5.0
tep,PCA-Triage,fixed_full_data,0.5,42,13,0.7176715176715177,0.9826732673267327,0.9904365904365905,0.9865396562435287,0.4421052631578947,0.5578947368421052,1.0,0.2,0.0,10.0,4.0,5.0
tep,PCA-Triage,fixed_full_data,0.5,42,14,0.8066528066528067,0.982420278004906,0.9991683991683992,0.9907235621521335,0.45263157894736844,0.5473684210526316,1.0,0.0,0.0,8.0,3.2,5.0
tep,PCA-Triage,fixed_full_data,0.5,42,15,0.22910602910602912,0.9779676258992805,0.9043659043659044,0.9397278029812054,0.5157894736842106,0.4842105263157895,1.0,0.4,0.0,14.0,5.6,5.0
tep,PCA-Triage,fixed_full_data,0.5,42,16,0.577962577962578,0.9882253994953742,0.9771309771309772,0.9826468743466443,0.29473684210526313,0.7052631578947368,1.0,0.0,0.0,8.0,3.2,5.0
tep,PCA-Triage,fixed_full_data,0.5,42,17,0.7758835758835759,0.9805383022774327,0.9846153846153847,0.9825726141078838,0.49473684210526314,0.5052631578947369,1.0,0.0,0.0,8.0,3.2,5.0
