dataset,method,protocol,budget,seed,requested_budget,weighted_f1,macro_f1,macro_precision,macro_recall,rmse,mae,nrmse_mean,available_values,transmitted_values,transmitted_payload_bytes,payload_bytes_per_value,realized_bandwidth,budget_excess,max_window_budget_excess,max_window_excess_values,n_windows,elapsed_s,binary_precision,binary_recall,binary_f1,binary_fpr,binary_specificity,binary_event_recall,binary_mean_detection_delay,binary_median_detection_delay,binary_false_alarm_events,binary_false_alarms_per_1000,binary_n_events,binary_detected_events,binary_missed_events
tep,PCA-Triage,method_retrained,0.5,42,0.5,0.6717406234194574,0.6800257332832276,0.6954620160391556,0.672520115020115,0.26944252713316547,0.10424486004787624,0.026890143613550736,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,15.018974332997459,0.964136668972751,0.8981704781704781,0.9299852543887029,0.36522727272727273,0.6347727272727273,1.0,4.5,2.0,406.0,7.733333333333333,100.0,100.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,42,0.5,0.6693437312406818,0.6798192922300386,0.6893157115042109,0.68745994995995,0.26944252713316547,0.10424486004787624,0.026890143613550736,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,15.974715500000457,0.9391967200063689,0.981060291060291,0.9596721711543155,0.6943181818181818,0.30568181818181817,1.0,0.2,0.0,401.0,7.6380952380952385,100.0,100.0,0.0
tep,Variance,method_retrained,0.5,42,0.5,0.6749695703970902,0.6837766110279156,0.6983650820084806,0.676415048915049,0.261299350398903,0.09900211982253308,0.025602459602084342,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,11.227974790999724,0.9622016062648779,0.8991683991683992,0.9296177282936947,0.3861363636363636,0.6138636363636364,1.0,4.32,2.0,395.0,7.523809523809524,100.0,100.0,0.0
tep,Variance,fixed_full_data,0.5,42,0.5,0.6698676498513503,0.6807001652206439,0.6887800555642822,0.6894988569988572,0.261299350398903,0.09900211982253308,0.025602459602084342,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,11.491372958000284,0.9387198279295785,0.9799376299376299,0.9588859956058263,0.6993181818181818,0.30068181818181816,1.0,0.2,0.0,393.0,7.485714285714286,100.0,100.0,0.0
tep,Threshold,method_retrained,0.5,42,0.5,0.6488804027435852,0.6566411876421379,0.67596756178628,0.6496225846225846,0.37986957997972814,0.13797785153544012,0.03820991507175713,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,11.172592417002306,0.9672513017265004,0.8805405405405405,0.9218613964826745,0.3259090909090909,0.6740909090909091,1.0,4.78,2.0,291.0,5.542857142857143,100.0,100.0,0.0
tep,Threshold,fixed_full_data,0.5,42,0.5,0.6502003633327983,0.6599704714551591,0.670121729904359,0.6712432387432388,0.37986957997972814,0.13797785153544012,0.03820991507175713,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,11.433186875001411,0.9388659302233172,0.9824324324324324,0.9601552340702211,0.6993181818181818,0.30068181818181816,1.0,0.2,0.0,388.0,7.390476190476191,100.0,100.0,0.0
tep,Uniform,method_retrained,0.5,42,0.5,0.7047807833432301,0.71432148174596,0.7293743020794141,0.7061627786627787,0.4824578914041943,0.17521343845916587,0.03630388541966491,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,12.621120957999665,0.9602465196581944,0.9134719334719335,0.9362753976794486,0.4134090909090909,0.586590909090909,1.0,2.28,1.0,501.0,9.542857142857143,100.0,100.0,0.0
tep,Uniform,fixed_full_data,0.5,42,0.5,0.6863595867824005,0.6976436210895847,0.7115986485861517,0.6989196164196165,0.4824578914041943,0.17521343845916587,0.03630388541966491,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,12.964637916993524,0.9396563793827629,0.9767151767151767,0.9578274564971406,0.6856818181818182,0.31431818181818183,1.0,0.2,0.0,444.0,8.457142857142857,100.0,100.0,0.0
tep,Full Data,method_retrained,1.0,42,0.5,0.727711364483341,0.7397165436481575,0.7503509420555385,0.7373074448074449,0.0,0.0,0.0,2730000,2730000,10920000,4,1.0,0.0,0.0,0,1050,9.357554791997245,0.9418936289869044,0.9749480249480249,0.9581358287021903,0.6575,0.3425,1.0,0.36,0.0,457.0,8.704761904761904,100.0,100.0,0.0
tep,Full Data,fixed_full_data,1.0,42,0.5,0.727711364483341,0.7397165436481575,0.7503509420555385,0.7373074448074449,0.0,0.0,0.0,2730000,2730000,10920000,4,1.0,0.0,0.0,0,1050,9.618788667001354,0.9418936289869044,0.9749480249480249,0.9581358287021903,0.6575,0.3425,1.0,0.36,0.0,457.0,8.704761904761904,100.0,100.0,0.0
