dataset,method,protocol,budget,seed,fault_type,exact_fault_recall,binary_precision,binary_recall,binary_f1,binary_fpr,binary_specificity,binary_event_recall,binary_mean_detection_delay,binary_median_detection_delay,binary_false_alarm_events,binary_false_alarms_per_1000,binary_n_events,binary_detected_events,binary_missed_events
tep,PCA-Triage,method_retrained,0.5,42,1,0.9792099792099792,0.9979123173277662,0.9937629937629938,0.9958333333333333,0.05263157894736842,0.9473684210526315,1.0,1.6,1.0,4.0,1.6,5.0,5.0,0.0
tep,PCA-Triage,method_retrained,0.5,42,2,0.9692307692307692,0.9962041332770982,0.9821205821205822,0.9891122278056952,0.09473684210526316,0.9052631578947369,1.0,5.2,2.0,5.0,2.0,5.0,5.0,0.0
tep,PCA-Triage,method_retrained,0.5,42,3,0.1501039501039501,0.9940436796823295,0.6245322245322246,0.7671092951991828,0.09473684210526316,0.9052631578947369,1.0,12.0,14.0,5.0,2.0,5.0,5.0,0.0
tep,PCA-Triage,method_retrained,0.5,42,4,0.9280665280665281,0.997093023255814,0.9983367983367983,0.9977145231664243,0.07368421052631578,0.9263157894736842,1.0,0.8,1.0,3.0,1.2,5.0,5.0,0.0
tep,PCA-Triage,method_retrained,0.5,42,5,0.7750519750519751,0.9968985378821444,0.9355509355509356,0.9652509652509652,0.07368421052631578,0.9263157894736842,1.0,1.4,2.0,5.0,2.0,5.0,5.0,0.0
tep,PCA-Triage,method_retrained,0.5,42,6,0.9975051975051975,0.9954394693200663,0.9983367983367983,0.9968860286485365,0.11578947368421053,0.8842105263157894,1.0,0.6,1.0,6.0,2.4,5.0,5.0,0.0
tep,PCA-Triage,method_retrained,0.5,42,7,0.9933471933471933,0.9958523434259643,0.9983367983367983,0.997093023255814,0.10526315789473684,0.8947368421052632,1.0,0.8,1.0,3.0,1.2,5.0,5.0,0.0
tep,PCA-Triage,method_retrained,0.5,42,8,0.7708939708939709,0.9957283212302435,0.9692307692307692,0.9823008849557522,0.10526315789473684,0.8947368421052632,1.0,4.0,1.0,4.0,1.6,5.0,5.0,0.0
tep,PCA-Triage,method_retrained,0.5,42,9,0.14303534303534304,0.992772667542707,0.6282744282744283,0.7695441813088872,0.11578947368421053,0.8842105263157894,1.0,5.8,2.0,5.0,2.0,5.0,5.0,0.0
tep,PCA-Triage,method_retrained,0.5,42,10,0.49272349272349275,0.998149005090236,0.8968814968814969,0.9448094612352168,0.042105263157894736,0.9578947368421052,1.0,6.4,3.0,2.0,0.8,5.0,5.0,0.0
tep,PCA-Triage,method_retrained,0.5,42,11,0.6968814968814969,0.997310623038996,0.9251559251559252,0.959879206212252,0.06315789473684211,0.9368421052631579,1.0,7.0,6.0,2.0,0.8,5.0,5.0,0.0
tep,PCA-Triage,method_retrained,0.5,42,12,0.7704781704781705,0.9966372425388819,0.9858627858627859,0.9912207357859532,0.08421052631578947,0.9157894736842105,1.0,4.8,6.0,3.0,1.2,5.0,5.0,0.0
tep,PCA-Triage,method_retrained,0.5,42,13,0.6785862785862786,0.9969749351771824,0.9592515592515592,0.9777495232040686,0.07368421052631578,0.9263157894736842,1.0,7.0,6.0,3.0,1.2,5.0,5.0,0.0
tep,PCA-Triage,method_retrained,0.5,42,14,0.9367983367983368,0.995848899958489,0.9975051975051975,0.9966763606148733,0.10526315789473684,0.8947368421052632,1.0,1.2,2.0,5.0,2.0,5.0,5.0,0.0
tep,PCA-Triage,method_retrained,0.5,42,15,0.11975051975051976,0.9920265780730897,0.6207900207900208,0.7636828644501279,0.12631578947368421,0.8736842105263158,1.0,4.4,2.0,4.0,1.6,5.0,5.0,0.0
tep,PCA-Triage,method_retrained,0.5,42,16,0.35135135135135137,0.9965017491254373,0.8291060291060292,0.9051293690422152,0.07368421052631578,0.9263157894736842,1.0,4.8,2.0,2.0,0.8,5.0,5.0,0.0
tep,PCA-Triage,method_retrained,0.5,42,17,0.8141372141372142,0.995640802092415,0.9496881496881497,0.9721217280272398,0.10526315789473684,0.8947368421052632,1.0,6.4,3.0,5.0,2.0,5.0,5.0,0.0
tep,PCA-Triage,method_retrained,0.5,42,18,0.8074844074844075,0.9968957871396896,0.9347193347193348,0.9648068669527897,0.07368421052631578,0.9263157894736842,1.0,8.4,8.0,3.0,1.2,5.0,5.0,0.0
tep,PCA-Triage,method_retrained,0.5,42,19,0.4810810810810811,0.9965903555772041,0.8507276507276508,0.917900403768506,0.07368421052631578,0.9263157894736842,1.0,2.6,2.0,3.0,1.2,5.0,5.0,0.0
tep,PCA-Triage,method_retrained,0.5,42,20,0.6324324324324324,0.9981247069854665,0.8852390852390852,0.9382988100484795,0.042105263157894736,0.9578947368421052,1.0,4.8,2.0,3.0,1.2,5.0,5.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,42,1,0.9796257796257797,0.9856144677353063,0.9970893970893971,0.9913187267465895,0.3684210526315789,0.631578947368421,1.0,0.2,0.0,8.0,3.2,5.0,5.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,42,2,0.9700623700623701,0.9835931091058244,0.9970893970893971,0.9902952715259137,0.42105263157894735,0.5789473684210527,1.0,0.6,0.0,12.0,4.8,5.0,5.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,42,3,0.09521829521829522,0.9818342933097032,0.9214137214137215,0.9506649506649507,0.43157894736842106,0.5684210526315789,1.0,0.0,0.0,18.0,7.2,5.0,5.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,42,4,0.9696465696465697,0.9864532019704434,0.9991683991683992,0.992770088824623,0.3473684210526316,0.6526315789473685,1.0,0.4,0.0,21.0,8.4,5.0,5.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,42,5,0.8395010395010395,0.9831622176591376,0.9954261954261955,0.9892561983471074,0.43157894736842106,0.5684210526315789,1.0,0.0,0.0,9.0,3.6,5.0,5.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,42,6,0.9975051975051975,0.9824346405228758,1.0,0.9911395013393777,0.45263157894736844,0.5473684210526316,1.0,0.0,0.0,13.0,5.2,5.0,5.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,42,7,0.995010395010395,0.984036021285305,0.9995841995841996,0.9917491749174917,0.4105263157894737,0.5894736842105263,1.0,0.2,0.0,15.0,6.0,5.0,5.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,42,8,0.8133056133056134,0.9835051546391752,0.9916839916839917,0.9875776397515528,0.42105263157894735,0.5789473684210527,1.0,0.2,0.0,12.0,4.8,5.0,5.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,42,9,0.13264033264033265,0.9826589595375722,0.918918918918919,0.9497206703910615,0.4105263157894737,0.5894736842105263,1.0,0.2,0.0,12.0,4.8,5.0,5.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,42,10,0.6045738045738046,0.987120897382634,0.987941787941788,0.9875311720698254,0.3263157894736842,0.6736842105263158,1.0,0.0,0.0,13.0,5.2,5.0,5.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,42,11,0.7226611226611227,0.9817578772802653,0.9846153846153847,0.9831845547020968,0.4631578947368421,0.5368421052631579,1.0,0.4,0.0,7.0,2.8,5.0,5.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,42,12,0.738045738045738,0.9852277390233894,0.9983367983367983,0.9917389508467576,0.37894736842105264,0.6210526315789474,1.0,0.2,0.0,11.0,4.4,5.0,5.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,42,13,0.716008316008316,0.9826446280991735,0.9887733887733888,0.985699481865285,0.4421052631578947,0.5578947368421052,1.0,0.2,0.0,13.0,5.2,5.0,5.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,42,14,0.911018711018711,0.982420278004906,0.9991683991683992,0.9907235621521335,0.45263157894736844,0.5473684210526316,1.0,0.0,0.0,12.0,4.8,5.0,5.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,42,15,0.18503118503118504,0.9783473265576668,0.9205821205821206,0.9485861182519281,0.5157894736842106,0.4842105263157895,1.0,0.4,0.0,16.0,6.4,5.0,5.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,42,16,0.5488565488565489,0.9882894186532831,0.9825363825363825,0.9854045037531276,0.29473684210526313,0.7052631578947368,1.0,0.0,0.0,12.0,4.8,5.0,5.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,42,17,0.7234927234927235,0.9805865344898802,0.9871101871101872,0.9838375466224617,0.49473684210526314,0.5052631578947369,1.0,0.0,0.0,12.0,4.8,5.0,5.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,42,18,0.8253638253638254,0.9849435382685069,0.9792099792099792,0.982068390325271,0.37894736842105264,0.6210526315789474,1.0,0.8,0.0,16.0,6.4,5.0,5.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,42,19,0.6686070686070686,0.9838308457711443,0.9866943866943867,0.9852605356030725,0.4105263157894737,0.5894736842105263,1.0,0.0,0.0,16.0,6.4,5.0,5.0,0.0
