dataset,method,f1_mean,f1_std,time_s,params
tep,PCA-Triage v2,0.8107208181295587,0.0045023712507157865,0.698960542678833,0
tep,Variance,0.6571758803126976,0.002763728519587061,0.09328901767730713,0
tep,LSTM-Attention,0.6234053086424549,0.019729033260523388,4.685972094535828,14440
tep,Transformer-Attention,0.6307381562538956,0.002995644261439556,1.446871042251587,11826
smd,PCA-Triage v2,0.9798566510661543,7.362648845254949e-05,0.6699724197387695,0
smd,Variance,0.9726794885609136,0.0014174255240625988,0.09837853908538818,0
smd,LSTM-Attention,0.9614101383321615,0.00040514130456070774,4.304065823554993,11724
smd,Transformer-Attention,0.9634750332486648,0.0006782321106748035,1.3999258279800415,11826
msl,PCA-Triage v2,0.9208890057552355,0.00023222552463247892,0.6771210432052612,0
msl,Variance,0.9186042546469382,0.0009699780897736154,0.19783508777618408,0
msl,LSTM-Attention,0.914083809722542,0.00028577376126937004,4.445214629173279,15022
msl,Transformer-Attention,0.9139535171084656,0.00023371522079174145,1.4655718803405762,11826
psm,PCA-Triage v2,0.9284921659943577,0.0003673908312826768,0.6605410575866699,0
psm,Variance,0.8963757119030688,0.0017536977758848549,0.12881362438201904,0
psm,LSTM-Attention,0.8856767741530405,0.0009705663039902834,4.443665027618408,9202
psm,Transformer-Attention,0.8838588484406611,0.0003639683833749907,1.6313159465789795,11826
hai,PCA-Triage v2,0.9983863957193235,0.0004215469137919814,1.0564658641815186,0
hai,Variance,0.999898573932954,0.0,0.24130451679229736,0
hai,LSTM-Attention,0.9981959150700532,0.00030444536246587717,4.840917468070984,20260
hai,Transformer-Attention,0.9990055350908864,0.00023810093204584826,2.2309075593948364,11826
skab,PCA-Triage v2,0.5410207555810072,0.011765964476260937,0.7640775442123413,0
skab,Variance,0.5068754334081442,0.007304078186348845,0.1785290241241455,0
skab,LSTM-Attention,0.5033759956868609,0.00030767066011266886,5.106816530227661,5904
skab,Transformer-Attention,0.501795522696878,0.0032245131843877395,1.814529538154602,11826
swat,PCA-Triage v2,0.8672491407084504,0.0029087568211069725,0.8490206003189087,0
swat,Variance,0.9755610446919487,0.00025839273749589386,0.15738511085510254,0
swat,LSTM-Attention,0.9029221888558361,0.0007263855165819955,4.669551491737366,14246
swat,Transformer-Attention,0.9069404976698896,0.0007568168491063343,1.6439964771270752,11826
