dataset,method,f1_mean,f1_std
tep,PCA-Triage (spatial only),0.9718728009625902,0.0022357296618431394
tep,"Send-on-Delta (temporal only, δ=0.1)",0.9618947333328226,4.036162590283669e-05
tep,"Send-on-Delta (temporal only, δ=0.3)",0.8084057313372317,0.0046037558025810894
tep,Joint PCA+SoD (δ=0.1),0.9642989218537369,0.0013772132376609124
tep,Joint PCA+SoD (δ=0.3),0.7961686812108143,0.08179395782805726
tep,OGD (regret-optimal),0.9337885826026637,0.00018901749780516724
tep,Variance,0.9495798468059679,0.0009284899256692702
tep,Uniform,0.9223362341747375,0.002170150662885358
smd,PCA-Triage (spatial only),0.9869599958900889,5.418997807723975e-05
smd,"Send-on-Delta (temporal only, δ=0.1)",0.9928644216646623,3.354878745184901e-05
smd,"Send-on-Delta (temporal only, δ=0.3)",0.9909266748842849,8.359171667390034e-05
smd,Joint PCA+SoD (δ=0.1),0.9894980230507983,0.00014812446522263734
smd,Joint PCA+SoD (δ=0.3),0.9877766056280416,9.355505965824561e-05
smd,OGD (regret-optimal),0.9757228850799805,0.000323817846276663
smd,Variance,0.9774899233629238,7.31065304835622e-05
smd,Uniform,0.9675548758803417,0.0002290431997290666
psm,PCA-Triage (spatial only),0.9681026494454775,0.00017296973464182662
psm,"Send-on-Delta (temporal only, δ=0.1)",0.9973558131321235,3.29298208191683e-05
psm,"Send-on-Delta (temporal only, δ=0.3)",0.9950983338579907,5.915752206181218e-05
psm,Joint PCA+SoD (δ=0.1),0.973577594071337,0.0005110305447445299
psm,Joint PCA+SoD (δ=0.3),0.9606669888408002,0.0005263805367247155
psm,OGD (regret-optimal),0.9207934434347425,0.0010374573666146142
psm,Variance,0.910138625041386,0.0002528558258516693
psm,Uniform,0.8982874413233798,0.0004002731212707791
