dataset,classifier,method,f1
tep,RF,PCA-Triage,0.961617052787978
tep,RF,Uniform,0.9201940142915039
tep,RF,Variance,0.9455236556865548
tep,RF,Full Data,0.9613946318277091
tep,SVM,PCA-Triage,0.9596211025914538
tep,SVM,Uniform,0.9016027078633743
tep,SVM,Variance,0.9333525661275237
tep,SVM,Full Data,0.9633355402619488
tep,KNN,PCA-Triage,0.9028136482495173
tep,KNN,Uniform,0.8813178755158065
tep,KNN,Variance,0.9026589922145593
tep,KNN,Full Data,0.9261585934275705
smd,RF,PCA-Triage,0.9805048279313311
smd,RF,Uniform,0.9676936404292616
smd,RF,Variance,0.9757108925542987
smd,RF,Full Data,0.9937456683228209
smd,SVM,PCA-Triage,0.9642901490269138
smd,SVM,Uniform,0.9563241048952533
smd,SVM,Variance,0.9630126545339638
smd,SVM,Full Data,0.9718480776303564
smd,KNN,PCA-Triage,0.9728524368881787
smd,KNN,Uniform,0.9643164600025358
smd,KNN,Variance,0.9711732567520853
smd,KNN,Full Data,0.9902566409382729
skab,RF,PCA-Triage,0.5993809441771131
skab,RF,Uniform,0.5916505984200143
skab,RF,Variance,0.5687015448369964
skab,RF,Full Data,0.5967155213143666
skab,SVM,PCA-Triage,0.6875145431538984
skab,SVM,Uniform,0.6725540798401166
skab,SVM,Variance,0.6993068443055382
skab,SVM,Full Data,0.752004266886459
skab,KNN,PCA-Triage,0.5569637708366961
skab,KNN,Uniform,0.5549387503968172
skab,KNN,Variance,0.555477708884499
skab,KNN,Full Data,0.5573759755802447
