dataset,config,f1_mean,f1_std
tep,Fixed k=5,0.968226721016154,0.0025583642712849607
tep,Fixed k=10,0.9669863829585635,0.0007191962304728044
tep,Adaptive k (90%),0.9635727738164803,0.0021320798094528986
tep,Adaptive k (95%),0.9517089680634016,0.003142749921974378
tep,"Ensemble [3,5,10]",0.9675390046379935,0.002121973898391223
tep,Hybrid v2,0.9699006054825262,0.0019049111788552067
smd,Fixed k=5,0.9815563787774652,0.0002794802688161968
smd,Fixed k=10,0.9842127682030483,0.00016734769428240043
smd,Adaptive k (90%),0.9827546126480503,0.00013568046529837172
smd,Adaptive k (95%),0.9837546611266532,0.00016655602859487153
smd,"Ensemble [3,5,10]",0.981459705536886,0.00019761480907457872
smd,Hybrid v2,0.9864851708230321,0.00010789408892690605
msl,Fixed k=5,0.9187673806654292,0.0003696868180111341
msl,Fixed k=10,0.9187673806654292,0.0003696868180111341
msl,Adaptive k (90%),0.9187673806654292,0.0003696868180111341
msl,Adaptive k (95%),0.9187673806654292,0.0003696868180111341
msl,"Ensemble [3,5,10]",0.9187673806654292,0.0003696868180111341
msl,Hybrid v2,0.9187673806654292,0.0003696868180111341
psm,Fixed k=5,0.9634395211193384,0.0004181896480984376
psm,Fixed k=10,0.9545083614043105,0.0007426420507318471
psm,Adaptive k (90%),0.9572542443083645,0.0010615735611853193
psm,Adaptive k (95%),0.9545083614043105,0.0007426420507318471
psm,"Ensemble [3,5,10]",0.9591992400792141,0.0003778310580022483
psm,Hybrid v2,0.9647040034213207,0.00038263848669451903
hai,Fixed k=5,0.99966777109924,1.1305653837202709e-05
hai,Fixed k=10,0.9993462298678945,2.649933679285514e-05
hai,Adaptive k (90%),0.9994509674298072,1.728222813860765e-05
hai,Adaptive k (95%),0.9994956854052114,2.8222926453489912e-05
hai,"Ensemble [3,5,10]",0.9994590606215513,5.250089433457575e-05
hai,Hybrid v2,0.9993024101890913,6.454730346282052e-05
skab,Fixed k=5,0.5621523145794179,0.019188555745180032
skab,Fixed k=10,0.5610611917180197,0.01247269338007226
skab,Adaptive k (90%),0.5519884678407524,0.009935890328396837
skab,Adaptive k (95%),0.5519884678407524,0.009935890328396837
skab,"Ensemble [3,5,10]",0.5539739359244948,0.009090630075089288
skab,Hybrid v2,0.5494864033356137,0.007147002474789927
swat,Fixed k=5,0.9899168638517987,7.365028810747679e-05
swat,Fixed k=10,0.9816486671069531,0.00018394344268360665
swat,Adaptive k (90%),0.9847354996216017,0.00029303379677712594
swat,Adaptive k (95%),0.9777114517774933,6.515414567226881e-05
swat,"Ensemble [3,5,10]",0.9877353940317223,0.00022550297620036394
swat,Hybrid v2,0.9866090933434147,0.00018395550236878876
