dataset,method,budget,seed,f1
hai,PCA-Triage,0.1,42,0.9993822865416092
hai,PCA-Triage,0.1,123,0.9993822865416092
hai,PCA-Triage,0.1,456,0.9993988754535738
hai,PCA-Triage,0.3,42,0.9997781128615991
hai,PCA-Triage,0.3,123,0.9996964130232258
hai,PCA-Triage,0.3,456,0.9997091973189001
hai,PCA-Triage,0.5,42,0.9999742119281148
hai,PCA-Triage,0.5,123,0.9999742119281148
hai,PCA-Triage,0.5,456,0.9999742119281148
hai,PCA-Triage,0.7,42,0.9999742119281148
hai,PCA-Triage,0.7,123,0.9999742119281148
hai,PCA-Triage,0.7,456,0.9999742119281148
hai,PCA-Triage,0.9,42,0.9999742119281148
hai,PCA-Triage,0.9,123,0.9999742119281148
hai,PCA-Triage,0.9,456,0.9999742119281148
hai,Uniform,0.1,42,0.9963417702747678
hai,Uniform,0.1,123,0.996410006610603
hai,Uniform,0.1,456,0.9961135954939174
hai,Uniform,0.3,42,0.9966836871011115
hai,Uniform,0.3,123,0.9968960137452678
hai,Uniform,0.3,456,0.9967666548278366
hai,Uniform,0.5,42,0.9982641422945986
hai,Uniform,0.5,123,0.9984946099962871
hai,Uniform,0.5,456,0.9984773319653042
hai,Uniform,0.7,42,0.9995130056942572
hai,Uniform,0.7,123,0.9994510500068368
hai,Uniform,0.7,456,0.9995320499856344
hai,Uniform,0.9,42,0.9998575950760331
hai,Uniform,0.9,123,0.9999352704891059
hai,Uniform,0.9,456,0.9999226357843447
hai,Threshold,0.1,42,0.9963990345299352
hai,Threshold,0.1,123,0.9963016021644051
hai,Threshold,0.1,456,0.9964440658951293
hai,Threshold,0.3,42,0.9983164299974666
hai,Threshold,0.3,123,0.9980712871560519
hai,Threshold,0.3,456,0.9981046487509673
hai,Threshold,0.5,42,0.9996266541698947
hai,Threshold,0.5,123,0.9995553715619234
hai,Threshold,0.5,456,0.9996011544464892
hai,Threshold,0.7,42,0.9997083600305953
hai,Threshold,0.7,123,0.9997083600305953
hai,Threshold,0.7,456,0.9997627479593894
hai,Threshold,0.9,42,0.9997083600305953
hai,Threshold,0.9,123,0.9997083600305953
hai,Threshold,0.9,456,0.9997627479593894
hai,Variance,0.1,42,0.9977350506525675
hai,Variance,0.1,123,0.9978994134181768
hai,Variance,0.1,456,0.9976286776151834
hai,Variance,0.3,42,1.0
hai,Variance,0.3,123,0.9999871570072193
hai,Variance,0.3,456,1.0
hai,Variance,0.5,42,1.0
hai,Variance,0.5,123,1.0
hai,Variance,0.5,456,1.0
hai,Variance,0.7,42,1.0
hai,Variance,0.7,123,1.0
hai,Variance,0.7,456,1.0
hai,Variance,0.9,42,1.0
hai,Variance,0.9,123,1.0
hai,Variance,0.9,456,1.0
hai,Random Dropout,0.1,42,0.9976077060834531
hai,Random Dropout,0.1,123,0.997739481882066
hai,Random Dropout,0.1,456,0.9979623498655242
hai,Random Dropout,0.3,42,0.9990457609747682
hai,Random Dropout,0.3,123,0.9989479148987978
hai,Random Dropout,0.3,456,0.9990963889610256
hai,Random Dropout,0.5,42,0.9995412030734773
hai,Random Dropout,0.5,123,0.999569495385774
hai,Random Dropout,0.5,456,0.999583574931896
hai,Random Dropout,0.7,42,0.9997897047851064
hai,Random Dropout,0.7,123,0.9997897047851064
hai,Random Dropout,0.7,456,0.9998431571448108
hai,Random Dropout,0.9,42,0.9999352704891059
hai,Random Dropout,0.9,123,0.9999742119281148
hai,Random Dropout,0.9,456,0.9999222197363715
hai,Mutual Info,0.1,42,0.9963483266567417
hai,Mutual Info,0.1,123,0.9964128307303078
hai,Mutual Info,0.1,456,0.9963991539745187
hai,Mutual Info,0.3,42,0.9995412030734773
hai,Mutual Info,0.3,123,0.9996809235571914
hai,Mutual Info,0.3,456,0.9995976105827095
hai,Mutual Info,0.5,42,0.9999871230689271
hai,Mutual Info,0.5,123,1.0
hai,Mutual Info,0.5,456,0.9999871570072193
hai,Mutual Info,0.7,42,1.0
hai,Mutual Info,0.7,123,1.0
hai,Mutual Info,0.7,456,1.0
hai,Mutual Info,0.9,42,1.0
hai,Mutual Info,0.9,123,1.0
hai,Mutual Info,0.9,456,1.0
