dataset,method,budget,seed,f1,time
NASA_Bearing,PCA-Triage,0.1,42,0.5475658131987018,0.005719661712646484
NASA_Bearing,PCA-Triage,0.1,123,0.552705933492719,0.005360126495361328
NASA_Bearing,PCA-Triage,0.1,456,0.49220895905532025,0.005146980285644531
NASA_Bearing,PCA-Triage,0.1,789,0.5370706671930516,0.005305051803588867
NASA_Bearing,PCA-Triage,0.1,1024,0.47494929006085196,0.005285024642944336
NASA_Bearing,PCA-Triage,0.2,42,0.6064190407500901,0.005402088165283203
NASA_Bearing,PCA-Triage,0.2,123,0.5597209649076095,0.005127906799316406
NASA_Bearing,PCA-Triage,0.2,456,0.5662241432540908,0.005357980728149414
NASA_Bearing,PCA-Triage,0.2,789,0.5681580417449598,0.005155086517333984
NASA_Bearing,PCA-Triage,0.2,1024,0.5625914315569489,0.005179166793823242
NASA_Bearing,PCA-Triage,0.3,42,0.6610896610896612,0.005127906799316406
NASA_Bearing,PCA-Triage,0.3,123,0.6281318681318682,0.0052318572998046875
NASA_Bearing,PCA-Triage,0.3,456,0.6149287749287748,0.005270957946777344
NASA_Bearing,PCA-Triage,0.3,789,0.6466117983342368,0.005118846893310547
NASA_Bearing,PCA-Triage,0.3,1024,0.675927751251296,0.005167961120605469
NASA_Bearing,PCA-Triage,0.4,42,0.7091799265605875,0.005629301071166992
NASA_Bearing,PCA-Triage,0.4,123,0.6865254927897392,0.0054569244384765625
NASA_Bearing,PCA-Triage,0.4,456,0.6798789567222249,0.005192995071411133
NASA_Bearing,PCA-Triage,0.4,789,0.6821334887787817,0.005191326141357422
NASA_Bearing,PCA-Triage,0.4,1024,0.7167974882260597,0.005181789398193359
NASA_Bearing,PCA-Triage,0.5,42,0.768199233716475,0.005285739898681641
NASA_Bearing,PCA-Triage,0.5,123,0.729483282674772,0.005305767059326172
NASA_Bearing,PCA-Triage,0.5,456,0.761157734907426,0.005167961120605469
NASA_Bearing,PCA-Triage,0.5,789,0.7627627627627628,0.005333900451660156
NASA_Bearing,PCA-Triage,0.5,1024,0.7202324290489069,0.00514984130859375
NASA_Bearing,PCA-Triage,0.6,42,0.8325627014151604,0.005461931228637695
NASA_Bearing,PCA-Triage,0.6,123,0.8205826028000143,0.005568027496337891
NASA_Bearing,PCA-Triage,0.6,456,0.7951853025023756,0.0051920413970947266
NASA_Bearing,PCA-Triage,0.6,789,0.8089579118475986,0.0054051876068115234
NASA_Bearing,PCA-Triage,0.6,1024,0.7933333333333333,0.005331993103027344
NASA_Bearing,PCA-Triage,0.7,42,0.8792353823088456,0.005372047424316406
NASA_Bearing,PCA-Triage,0.7,123,0.9060719640179912,0.005300045013427734
