dataset,method,budget,seed,f1,time
psm,PCA-Triage,0.1,42,0.837265869919322,4.850825071334839
psm,PCA-Triage,0.1,123,0.8373142376823626,4.4296698570251465
psm,PCA-Triage,0.1,456,0.8373000097760035,4.521046876907349
psm,PCA-Triage,0.3,42,0.8634098377679468,3.942530870437622
psm,PCA-Triage,0.3,123,0.8633268442771145,4.284632205963135
psm,PCA-Triage,0.3,456,0.8625302165307309,4.1347410678863525
psm,PCA-Triage,0.5,42,0.9440979568504262,2.863445997238159
psm,PCA-Triage,0.5,123,0.9424786889460677,4.111289024353027
psm,PCA-Triage,0.5,456,0.9437155725657135,4.198733806610107
psm,PCA-Triage,0.7,42,0.9906606184776816,3.680849075317383
psm,PCA-Triage,0.7,123,0.9906804898021054,4.170988082885742
psm,PCA-Triage,0.7,456,0.9912369308647568,4.2706780433654785
psm,PCA-Triage,0.9,42,0.9971577111258239,4.360105991363525
psm,PCA-Triage,0.9,123,0.9974166528127666,4.238235235214233
psm,PCA-Triage,0.9,456,0.9972944231882632,4.238668918609619
psm,Uniform,0.1,42,0.8372714520478428,0.12055015563964844
psm,Uniform,0.1,123,0.8372789951808287,0.12355804443359375
psm,Uniform,0.1,456,0.8372639087952415,0.12709498405456543
psm,Uniform,0.3,42,0.8459538984461863,0.15277385711669922
psm,Uniform,0.3,123,0.8472616137159859,0.14514708518981934
psm,Uniform,0.3,456,0.8479395955487602,0.14385414123535156
psm,Uniform,0.5,42,0.8971029113548583,0.16402816772460938
psm,Uniform,0.5,123,0.8970340747327304,0.17127680778503418
psm,Uniform,0.5,456,0.8990530559950269,0.12383699417114258
psm,Uniform,0.7,42,0.9512913487084281,0.11106085777282715
psm,Uniform,0.7,123,0.9518475187054846,0.13556313514709473
psm,Uniform,0.7,456,0.9528507717557438,0.11038804054260254
psm,Uniform,0.9,42,0.988674808205304,0.12305378913879395
psm,Uniform,0.9,123,0.9878709026604899,0.1841278076171875
psm,Uniform,0.9,456,0.9886032087015585,0.10249686241149902
psm,Threshold,0.1,42,0.8373075618860443,1.7888498306274414
psm,Threshold,0.1,123,0.8372924575485754,2.3512768745422363
psm,Threshold,0.1,456,0.8373350262259885,1.8028771877288818
psm,Threshold,0.3,42,0.865051337788746,2.339932918548584
psm,Threshold,0.3,123,0.8629695477769993,0.7307760715484619
psm,Threshold,0.3,456,0.8631380655340366,0.9803469181060791
psm,Threshold,0.5,42,0.9284955789236129,0.7623279094696045
psm,Threshold,0.5,123,0.927813792105155,0.834608793258667
psm,Threshold,0.5,456,0.9290800232806816,0.7892282009124756
psm,Threshold,0.7,42,0.9412197179464767,0.7602748870849609
psm,Threshold,0.7,123,0.9410929893025214,0.732388973236084
psm,Threshold,0.7,456,0.9413372036585923,0.7893879413604736
psm,Threshold,0.9,42,0.9426337344300959,0.7319412231445312
psm,Threshold,0.9,123,0.9414956663984565,1.2035677433013916
psm,Threshold,0.9,456,0.9414866554801349,1022.4717011451721
psm,Variance,0.1,42,0.8373520194453048,1.0113060474395752
psm,Variance,0.1,123,0.8373083904383205,1.1509170532226562
psm,Variance,0.1,456,0.8373066809809574,1.107029914855957
psm,Variance,0.3,42,0.8523018817817336,0.9931871891021729
psm,Variance,0.3,123,0.8516570934470543,801.1613430976868
psm,Variance,0.3,456,0.8518625881831846,1.057560920715332
psm,Variance,0.5,42,0.9092560500661419,0.5374281406402588
psm,Variance,0.5,123,0.9092616024750646,0.5381729602813721
psm,Variance,0.5,456,0.9099632868820394,0.5476212501525879
psm,Variance,0.7,42,0.961106124196309,0.5512981414794922
psm,Variance,0.7,123,0.9596907837469654,0.5468051433563232
psm,Variance,0.7,456,0.9627635678547406,0.5621111392974854
psm,Variance,0.9,42,0.9883775264103489,0.6835319995880127
psm,Variance,0.9,123,0.9883113287889546,0.5614180564880371
psm,Variance,0.9,456,0.9888105777411555,0.5622527599334717
psm,Random Dropout,0.1,42,0.8622750008792656,0.24188804626464844
psm,Random Dropout,0.1,123,0.8660932500396733,0.23505115509033203
psm,Random Dropout,0.1,456,0.863798511346292,0.2514817714691162
psm,Random Dropout,0.3,42,0.9291874128490557,0.24038195610046387
