dataset,method,budget,seed,f1,time
skab,PCA-Triage,0.1,42,0.5870991987849442,1.7251861095428467
skab,PCA-Triage,0.1,123,0.5608442386382506,1.755922794342041
skab,PCA-Triage,0.1,456,0.5254056961090221,1.6393520832061768
skab,PCA-Triage,0.2,42,0.5767636973238617,1.6840028762817383
skab,PCA-Triage,0.2,123,0.5673168342083404,1.6595063209533691
skab,PCA-Triage,0.2,456,0.5276132631615273,1.7120611667633057
skab,PCA-Triage,0.3,42,0.5797248014969835,1.5985140800476074
skab,PCA-Triage,0.3,123,0.5752522774015754,1.6553809642791748
skab,PCA-Triage,0.3,456,0.5277482115297033,1.6146461963653564
skab,PCA-Triage,0.4,42,0.5770482117187624,1.598534107208252
skab,PCA-Triage,0.4,123,0.5785400628831457,1.5935862064361572
skab,PCA-Triage,0.4,456,0.5683729495878259,1.634115219116211
skab,PCA-Triage,0.5,42,0.5821167975309124,1.594628095626831
skab,PCA-Triage,0.5,123,0.5776440550122021,1.6098999977111816
skab,PCA-Triage,0.5,456,0.5630089632729564,1.596606969833374
skab,PCA-Triage,0.6,42,0.5746148012240092,1.589608907699585
skab,PCA-Triage,0.6,123,0.5754353470672172,1.6049699783325195
skab,PCA-Triage,0.6,456,0.5656918321377753,1.5891118049621582
skab,PCA-Triage,0.7,42,0.5643106083594707,1.6301648616790771
skab,PCA-Triage,0.7,123,0.5821581445051701,1.668701171875
skab,PCA-Triage,0.7,456,0.5715325611240285,1.6561989784240723
skab,PCA-Triage,0.8,42,0.5598723287376087,1.6591689586639404
skab,PCA-Triage,0.8,123,0.5781592465729554,1.6285367012023926
skab,PCA-Triage,0.8,456,0.5530028088951706,1.582338809967041
skab,PCA-Triage,0.9,42,0.5598226675649277,1.54142427444458
skab,PCA-Triage,0.9,123,0.5698423485712655,1.5907971858978271
skab,PCA-Triage,0.9,456,0.5570970708456235,1.6941518783569336
skab,Uniform,0.1,42,0.6116864844800621,0.008311748504638672
skab,Uniform,0.1,123,0.613043312928246,0.008949995040893555
skab,Uniform,0.1,456,0.6062414129010618,0.007855892181396484
skab,Uniform,0.2,42,0.6053277355277591,0.008436918258666992
skab,Uniform,0.2,123,0.5756104131885923,0.008572101593017578
skab,Uniform,0.2,456,0.5982722630912731,0.00849294662475586
skab,Uniform,0.3,42,0.6089894584816505,0.008819103240966797
skab,Uniform,0.3,123,0.5814001374200931,0.009034872055053711
skab,Uniform,0.3,456,0.6023782774380448,0.008933067321777344
skab,Uniform,0.4,42,0.5981274404036291,0.009411096572875977
skab,Uniform,0.4,123,0.5846661992369017,0.009324073791503906
skab,Uniform,0.4,456,0.5991303434829743,0.00971078872680664
skab,Uniform,0.5,42,0.5896531535029186,0.009599924087524414
skab,Uniform,0.5,123,0.5843435770798252,0.009474754333496094
skab,Uniform,0.5,456,0.6025895270058559,0.009826183319091797
skab,Uniform,0.6,42,0.5905024949051645,0.009563922882080078
skab,Uniform,0.6,123,0.5771795544978049,0.010066032409667969
skab,Uniform,0.6,456,0.6004829368897293,0.009461164474487305
skab,Uniform,0.7,42,0.5918803714949128,0.00887298583984375
skab,Uniform,0.7,123,0.590055888054024,0.008932113647460938
skab,Uniform,0.7,456,0.5969884823822215,0.009289026260375977
skab,Uniform,0.8,42,0.6004799132578164,0.008436203002929688
skab,Uniform,0.8,123,0.5892576975874736,0.00884699821472168
skab,Uniform,0.8,456,0.5894769589803058,0.00829005241394043
skab,Uniform,0.9,42,0.5848462089921439,0.007668972015380859
skab,Uniform,0.9,123,0.5839986953771235,0.007962226867675781
skab,Uniform,0.9,456,0.5842229657250286,0.007983922958374023
skab,Threshold,0.1,42,0.5489130696004121,0.2519190311431885
skab,Threshold,0.1,123,0.6001279967197489,0.25195813179016113
skab,Threshold,0.1,456,0.5873636772186206,0.24650287628173828
skab,Threshold,0.2,42,0.5500792687699322,0.26613712310791016
skab,Threshold,0.2,123,0.5882365166615473,0.24722719192504883
skab,Threshold,0.2,456,0.6014151227834952,0.24691295623779297
skab,Threshold,0.3,42,0.5520063262690874,0.24789118766784668
skab,Threshold,0.3,123,0.5628648415938311,0.24495410919189453
skab,Threshold,0.3,456,0.5869514908274439,0.2468419075012207
skab,Threshold,0.4,42,0.5521121238797936,0.24639201164245605
skab,Threshold,0.4,123,0.564283147189656,0.2809429168701172
skab,Threshold,0.4,456,0.5863279879982551,0.24780011177062988
skab,Threshold,0.5,42,0.5496075964965192,0.24042606353759766
skab,Threshold,0.5,123,0.5708619550084544,0.24634790420532227
skab,Threshold,0.5,456,0.58462282419438,0.24250078201293945
skab,Threshold,0.6,42,0.5499193946297857,0.24482274055480957
skab,Threshold,0.6,123,0.5725683355490792,0.23847603797912598
skab,Threshold,0.6,456,0.5965403543136206,0.24554705619812012
skab,Threshold,0.7,42,0.5499193946297857,0.24452519416809082
skab,Threshold,0.7,123,0.5725683355490792,0.24212026596069336
skab,Threshold,0.7,456,0.5965403543136206,0.24579691886901855
skab,Threshold,0.8,42,0.5499193946297857,0.24679183959960938
skab,Threshold,0.8,123,0.5725683355490792,0.24340200424194336
skab,Threshold,0.8,456,0.5965403543136206,0.24408292770385742
skab,Threshold,0.9,42,0.5499193946297857,0.24054694175720215
skab,Threshold,0.9,123,0.5725683355490792,0.2462780475616455
