dataset,method,budget,seed,f1,time
smd,PCA-Triage,0.1,42,0.9549613320020219,3.220931053161621
smd,PCA-Triage,0.1,123,0.9549742349798909,3.1372900009155273
smd,PCA-Triage,0.1,456,0.9549316809525562,3.333920955657959
smd,PCA-Triage,0.2,42,0.9579409041469195,3.3558852672576904
smd,PCA-Triage,0.2,123,0.9574328231382053,3.344528913497925
smd,PCA-Triage,0.2,456,0.9572860445082234,4.337244033813477
smd,PCA-Triage,0.3,42,0.9654409762795577,3.338020086288452
smd,PCA-Triage,0.3,123,0.9652308254028675,3.680539131164551
smd,PCA-Triage,0.3,456,0.9643922018840684,3.166661262512207
smd,PCA-Triage,0.5,42,0.9831787402319598,3.2662746906280518
smd,PCA-Triage,0.5,123,0.9829086304891348,3.1893529891967773
smd,PCA-Triage,0.5,456,0.9831761438268887,3.2027699947357178
smd,PCA-Triage,0.7,42,0.9920937885691624,3.2217931747436523
smd,PCA-Triage,0.7,123,0.9921223441579629,3.1937601566314697
smd,PCA-Triage,0.7,456,0.9921723515769102,3.1544137001037598
smd,PCA-Triage,0.9,42,0.9936860205044807,3.0796561241149902
smd,PCA-Triage,0.9,123,0.9939971432235436,3.075913906097412
smd,PCA-Triage,0.9,456,0.993759635968681,3.1012301445007324
smd,Uniform,0.1,42,0.9549189621187786,0.3003411293029785
smd,Uniform,0.1,123,0.9549189621187786,0.30431413650512695
smd,Uniform,0.1,456,0.954910389422865,0.2884800434112549
smd,Uniform,0.2,42,0.9551844452346718,0.31865715980529785
smd,Uniform,0.2,123,0.955309729290624,0.33390092849731445
smd,Uniform,0.2,456,0.955125538481455,0.30318713188171387
smd,Uniform,0.3,42,0.9577276572692692,0.3351149559020996
smd,Uniform,0.3,123,0.9579092055796913,0.3341231346130371
smd,Uniform,0.3,456,0.9579589441030532,0.3519918918609619
smd,Uniform,0.5,42,0.9676936404292616,0.35901594161987305
smd,Uniform,0.5,123,0.967444888679823,0.4258148670196533
smd,Uniform,0.5,456,0.9673848090613603,0.33814096450805664
smd,Uniform,0.7,42,0.978310216963266,0.3576929569244385
smd,Uniform,0.7,123,0.9776975223683865,0.4440631866455078
smd,Uniform,0.7,456,0.9771955552330155,0.4623990058898926
smd,Uniform,0.9,42,0.9876228592816653,0.38664698600769043
smd,Uniform,0.9,123,0.9874999946478172,0.36809802055358887
smd,Uniform,0.9,456,0.9875433547760919,0.38872289657592773
smd,Threshold,0.1,42,0.9549486666862962,1.5849509239196777
smd,Threshold,0.1,123,0.9549402633741632,1.6300759315490723
smd,Threshold,0.1,456,0.9549146757894806,1.6943721771240234
smd,Threshold,0.2,42,0.9580927440824828,1.7853660583496094
smd,Threshold,0.2,123,0.9574963070120396,1.6196010112762451
smd,Threshold,0.2,456,0.9579459256666945,1.6863908767700195
smd,Threshold,0.3,42,0.9648331448159115,1.619262933731079
smd,Threshold,0.3,123,0.9648644483093823,1.7093749046325684
smd,Threshold,0.3,456,0.9644870511917121,1.9172887802124023
smd,Threshold,0.5,42,0.9805666896959574,1.3815150260925293
smd,Threshold,0.5,123,0.9810899895355356,1.3081390857696533
smd,Threshold,0.5,456,0.9811740342943039,1.3267948627471924
smd,Threshold,0.7,42,0.983073515404071,2.364609956741333
smd,Threshold,0.7,123,0.9833398034457964,1.442704200744629
smd,Threshold,0.7,456,0.9834532566672032,1.4571998119354248
smd,Threshold,0.9,42,0.9830677211167952,1.4906361103057861
smd,Threshold,0.9,123,0.9834053638680867,1.6312050819396973
smd,Threshold,0.9,456,0.9835858416045641,1.5999109745025635
smd,Variance,0.1,42,0.9554209395747567,1.284938097000122
smd,Variance,0.1,123,0.9553019180364002,1.2710862159729004
smd,Variance,0.1,456,0.9552844311568675,1.2381627559661865
smd,Variance,0.2,42,0.9580978001919225,1.388178825378418
smd,Variance,0.2,123,0.9582215483088914,1.257378101348877
smd,Variance,0.2,456,0.9583922381349707,1.2490601539611816
smd,Variance,0.3,42,0.964734728459313,1.287248134613037
smd,Variance,0.3,123,0.964643050019561,1.3749198913574219
smd,Variance,0.3,456,0.9650816195648545,1.2650492191314697
smd,Variance,0.5,42,0.9774153428542954,1.402752161026001
smd,Variance,0.5,123,0.9771807750656989,1.2511119842529297
smd,Variance,0.5,456,0.9772694829988228,1.283177137374878
smd,Variance,0.7,42,0.9875550653906179,1.3606209754943848
smd,Variance,0.7,123,0.9874935664777527,1.2597570419311523
smd,Variance,0.7,456,0.9874686903760829,1.2918751239776611
smd,Variance,0.9,42,0.9930652702258972,1.168018102645874
smd,Variance,0.9,123,0.993193366710635,1.1809117794036865
smd,Variance,0.9,456,0.993215678117576,1.1828601360321045
smd,Random Dropout,0.1,42,0.962696565475557,0.5096180438995361
smd,Random Dropout,0.1,123,0.9625552100133091,0.6119318008422852
smd,Random Dropout,0.1,456,0.9624672910347416,0.5868289470672607
smd,Random Dropout,0.2,42,0.9700536138847975,0.6104550361633301
smd,Random Dropout,0.2,123,0.9706022874540511,0.5652956962585449
smd,Random Dropout,0.2,456,0.9699777865956473,0.5718951225280762
smd,Random Dropout,0.3,42,0.9742223362222857,0.5288028717041016
smd,Random Dropout,0.3,123,0.9743938030878108,0.5592858791351318
smd,Random Dropout,0.3,456,0.9741926100755524,0.5428249835968018
smd,Random Dropout,0.5,42,0.9800764196553309,0.55377197265625
smd,Random Dropout,0.5,123,0.9799284049186858,0.5532412528991699
smd,Random Dropout,0.5,456,0.9798081927694123,0.5674130916595459
smd,Random Dropout,0.7,42,0.9837587407713255,0.5093860626220703
smd,Random Dropout,0.7,123,0.9837003889417614,0.49409008026123047
smd,Random Dropout,0.7,456,0.983692290948747,0.6822900772094727
smd,Random Dropout,0.9,42,0.9896998435098469,0.494581937789917
smd,Random Dropout,0.9,123,0.9898712752762401,0.5308260917663574
smd,Random Dropout,0.9,456,0.9899073234745747,0.595426082611084
smd,Mutual Info,0.1,42,0.955078971208267,17.883177995681763
smd,Mutual Info,0.1,123,0.9550950942515439,17.835713863372803
smd,Mutual Info,0.1,456,0.9551415761413358,17.356621742248535
smd,Mutual Info,0.2,42,0.9620677434902192,17.240158081054688
smd,Mutual Info,0.2,123,0.9621368456410104,263.38965678215027
smd,Mutual Info,0.2,456,0.9626175722525961,17.802829027175903
smd,Mutual Info,0.3,42,0.972489833944427,17.67060613632202
smd,Mutual Info,0.3,123,0.9730125965595025,18.172574996948242
smd,Mutual Info,0.3,456,0.972466307965923,17.766000986099243
smd,Mutual Info,0.5,42,0.985942283703666,17.651994705200195
smd,Mutual Info,0.5,123,0.9859672865063775,17.280025005340576
smd,Mutual Info,0.5,456,0.9860326093446568,17.446695804595947
smd,Mutual Info,0.7,42,0.9919812550106093,17.722013235092163
smd,Mutual Info,0.7,123,0.9916327626640438,19.061604738235474
smd,Mutual Info,0.7,456,0.991886205345253,17.43610119819641
smd,Mutual Info,0.9,42,0.9935443064437549,17.37485694885254
smd,Mutual Info,0.9,123,0.9933446300869548,17.658565998077393
smd,Mutual Info,0.9,456,0.99346297861025,17.55192995071411
