dataset,method,budget,seed,f1,time
swat,PCA-Triage,0.1,42,0.8597384448417766,23.96095371246338
swat,PCA-Triage,0.1,123,0.8603399825456315,30.2165048122406
swat,PCA-Triage,0.1,456,0.8598715228439499,21.61859893798828
swat,PCA-Triage,0.2,42,0.9136711030222427,26.58538293838501
swat,PCA-Triage,0.2,123,0.9130736326802227,41.45824408531189
swat,PCA-Triage,0.2,456,0.912391514726164,38.70854091644287
swat,PCA-Triage,0.3,42,0.9454017703695805,29.969080924987793
swat,PCA-Triage,0.3,123,0.9449856737863119,51.654905796051025
swat,PCA-Triage,0.3,456,0.9444425614390619,50.49017596244812
swat,PCA-Triage,0.4,42,0.976091682680224,49.75332474708557
swat,PCA-Triage,0.4,123,0.9754554187773881,51.581268072128296
swat,PCA-Triage,0.4,456,0.9759150987641327,12.149910926818848
swat,PCA-Triage,0.5,42,0.9862437934873164,29.645984888076782
swat,PCA-Triage,0.5,123,0.986197737770916,20.784443855285645
swat,PCA-Triage,0.5,456,0.985999516596112,34.869467973709106
swat,PCA-Triage,0.6,42,0.9930014598430909,20.25215792655945
swat,PCA-Triage,0.6,123,0.9930839582860497,19.41255497932434
swat,PCA-Triage,0.6,456,0.9927088619008786,25.715232133865356
swat,PCA-Triage,0.7,42,0.9969585824897428,23.85787010192871
swat,PCA-Triage,0.7,123,0.9969187296152617,5746.552904844284
swat,PCA-Triage,0.7,456,0.9969653918759016,30.244144916534424
swat,PCA-Triage,0.8,42,0.9973903882019513,20.051700830459595
swat,PCA-Triage,0.8,123,0.9973834641824011,36.24360704421997
swat,PCA-Triage,0.8,456,0.9973438499060787,28.611936807632446
swat,PCA-Triage,0.9,42,0.9978712207772332,32.568236112594604
swat,PCA-Triage,0.9,123,0.9979047299962219,31.77620506286621
swat,PCA-Triage,0.9,456,0.9978516399862974,31.167155981063843
swat,Uniform,0.1,42,0.8412902325884738,1.0974409580230713
swat,Uniform,0.1,123,0.8414014751675368,0.868372917175293
