dataset,method,budget,seed,f1,time
synth_high_corr,PCA-Triage,0.1,42,0.5442601291440484,0.04997897148132324
synth_high_corr,PCA-Triage,0.1,123,0.5435912399871735,0.05330204963684082
synth_high_corr,PCA-Triage,0.1,456,0.5384655557271413,0.055642127990722656
synth_high_corr,PCA-Triage,0.2,42,0.5836216505986164,0.05318307876586914
synth_high_corr,PCA-Triage,0.2,123,0.594031746031746,0.05323600769042969
synth_high_corr,PCA-Triage,0.2,456,0.580568751220147,0.05675482749938965
synth_high_corr,PCA-Triage,0.3,42,0.6171566863385138,0.05500602722167969
synth_high_corr,PCA-Triage,0.3,123,0.6293325541188789,0.05471491813659668
synth_high_corr,PCA-Triage,0.3,456,0.6221092897684117,0.05511784553527832
synth_high_corr,PCA-Triage,0.5,42,0.7110922557494123,0.05418801307678223
synth_high_corr,PCA-Triage,0.5,123,0.7133451165049853,0.05293583869934082
synth_high_corr,PCA-Triage,0.5,456,0.70387593590358,0.0539240837097168
synth_high_corr,PCA-Triage,0.7,42,0.7628719058651383,0.05476021766662598
synth_high_corr,PCA-Triage,0.7,123,0.7743377619921865,0.0558171272277832
synth_high_corr,PCA-Triage,0.7,456,0.7568298915690702,0.05365920066833496
synth_high_corr,PCA-Triage,0.9,42,0.7823051948051948,0.052542924880981445
synth_high_corr,PCA-Triage,0.9,123,0.7857544941943108,0.052175283432006836
synth_high_corr,PCA-Triage,0.9,456,0.7940036836023143,0.0534210205078125
synth_high_corr,Uniform,0.1,42,0.5593930867909015,0.002184152603149414
synth_high_corr,Uniform,0.1,123,0.5416995628625357,0.0023212432861328125
synth_high_corr,Uniform,0.1,456,0.5280822019511084,0.0020837783813476562
synth_high_corr,Uniform,0.2,42,0.5981261181504638,0.0026030540466308594
synth_high_corr,Uniform,0.2,123,0.6008535762708469,0.0026581287384033203
synth_high_corr,Uniform,0.2,456,0.5921321638198246,0.0025811195373535156
synth_high_corr,Uniform,0.3,42,0.6332700135685211,0.002852201461791992
synth_high_corr,Uniform,0.3,123,0.6383739793066783,0.0028481483459472656
synth_high_corr,Uniform,0.3,456,0.6305558883696988,0.002972126007080078
synth_high_corr,Uniform,0.5,42,0.7043059168394227,0.003345012664794922
synth_high_corr,Uniform,0.5,123,0.7075175205052592,0.0032842159271240234
synth_high_corr,Uniform,0.5,456,0.728577284003883,0.003269195556640625
synth_high_corr,Uniform,0.7,42,0.7663900676803743,0.0028710365295410156
synth_high_corr,Uniform,0.7,123,0.7714688601645124,0.002841949462890625
synth_high_corr,Uniform,0.7,456,0.7751695855886043,0.002856016159057617
synth_high_corr,Uniform,0.9,42,0.7924917742510934,0.0023560523986816406
synth_high_corr,Uniform,0.9,123,0.7886239940685723,0.0023009777069091797
synth_high_corr,Uniform,0.9,456,0.7928701570558173,0.0022792816162109375
synth_high_corr,Threshold,0.1,42,0.5129837066104671,0.0265500545501709
synth_high_corr,Threshold,0.1,123,0.5520609378091407,0.025783777236938477
synth_high_corr,Threshold,0.1,456,0.552193007302524,0.02611088752746582
synth_high_corr,Threshold,0.2,42,0.578914633612194,0.02510809898376465
synth_high_corr,Threshold,0.2,123,0.611372168689776,0.02599310874938965
synth_high_corr,Threshold,0.2,456,0.5891666666666666,0.02683115005493164
synth_high_corr,Threshold,0.3,42,0.644777874753177,0.025554895401000977
synth_high_corr,Threshold,0.3,123,0.6332867341494247,0.02510809898376465
synth_high_corr,Threshold,0.3,456,0.6247930526636534,0.024121999740600586
synth_high_corr,Threshold,0.5,42,0.6801552639044212,0.023675918579101562
synth_high_corr,Threshold,0.5,123,0.6781888012937134,0.02382206916809082
synth_high_corr,Threshold,0.5,456,0.6898170984123652,0.023923873901367188
synth_high_corr,Threshold,0.7,42,0.6848279153629953,0.024943113327026367
synth_high_corr,Threshold,0.7,123,0.6707118995962419,0.025741100311279297
synth_high_corr,Threshold,0.7,456,0.6862564281056188,0.029185056686401367
synth_high_corr,Threshold,0.9,42,0.6848279153629953,0.02593684196472168
synth_high_corr,Threshold,0.9,123,0.6707118995962419,0.026213884353637695
synth_high_corr,Threshold,0.9,456,0.6862564281056188,0.026689767837524414
synth_high_corr,Variance,0.1,42,0.5666585297810015,0.021349191665649414
synth_high_corr,Variance,0.1,123,0.5491137704701723,0.021461009979248047
synth_high_corr,Variance,0.1,456,0.5199619960194882,0.021967172622680664
synth_high_corr,Variance,0.2,42,0.5865294692282644,0.02138066291809082
synth_high_corr,Variance,0.2,123,0.602755329712477,0.021657943725585938
synth_high_corr,Variance,0.2,456,0.5977208435713325,0.021352052688598633
synth_high_corr,Variance,0.3,42,0.6375130682319156,0.021544218063354492
synth_high_corr,Variance,0.3,123,0.6237136645950195,0.021212100982666016
synth_high_corr,Variance,0.3,456,0.6359450865970897,0.021548032760620117
synth_high_corr,Variance,0.5,42,0.7150701509201209,0.021958112716674805
synth_high_corr,Variance,0.5,123,0.7107039791623238,0.021597862243652344
synth_high_corr,Variance,0.5,456,0.7143961527710696,0.021439075469970703
synth_high_corr,Variance,0.7,42,0.7682596057149176,0.021403789520263672
synth_high_corr,Variance,0.7,123,0.7704811409403955,0.027425050735473633
synth_high_corr,Variance,0.7,456,0.7567475282459083,0.0254671573638916
synth_high_corr,Variance,0.9,42,0.7831465761177138,0.02635025978088379
synth_high_corr,Variance,0.9,123,0.7951036692256543,0.02557682991027832
synth_high_corr,Variance,0.9,456,0.7776697581261717,0.021371126174926758
synth_high_corr,Random Dropout,0.1,42,0.6556509047664094,0.009636878967285156
synth_high_corr,Random Dropout,0.1,123,0.6778545118817931,0.009679079055786133
synth_high_corr,Random Dropout,0.1,456,0.652215677685764,0.00961923599243164
synth_high_corr,Random Dropout,0.2,42,0.7280040428507825,0.010042190551757812
synth_high_corr,Random Dropout,0.2,123,0.7315375830506377,0.010004997253417969
synth_high_corr,Random Dropout,0.2,456,0.7404580845821541,0.0099639892578125
synth_high_corr,Random Dropout,0.3,42,0.767178104913954,0.009891033172607422
synth_high_corr,Random Dropout,0.3,123,0.7585104608951089,0.009576082229614258
synth_high_corr,Random Dropout,0.3,456,0.7614071214071214,0.0100860595703125
synth_high_corr,Random Dropout,0.5,42,0.783725100959936,0.00926518440246582
synth_high_corr,Random Dropout,0.5,123,0.792344700847994,0.010267972946166992
synth_high_corr,Random Dropout,0.5,456,0.7974095322091201,0.011890888214111328
synth_high_corr,Random Dropout,0.7,42,0.8018272053178286,0.009908914566040039
synth_high_corr,Random Dropout,0.7,123,0.782927558772507,0.009957313537597656
synth_high_corr,Random Dropout,0.7,456,0.7853280849797317,0.009915828704833984
synth_high_corr,Random Dropout,0.9,42,0.7952602549955424,0.012683868408203125
synth_high_corr,Random Dropout,0.9,123,0.797383808095952,0.010704994201660156
synth_high_corr,Random Dropout,0.9,456,0.7856802578114054,0.009686946868896484
synth_high_corr,Mutual Info,0.1,42,0.6282229965156795,0.21918797492980957
synth_high_corr,Mutual Info,0.1,123,0.6488872390447403,0.21861481666564941
synth_high_corr,Mutual Info,0.1,456,0.636178200475535,0.2218329906463623
synth_high_corr,Mutual Info,0.2,42,0.7818889927428061,0.23718714714050293
synth_high_corr,Mutual Info,0.2,123,0.7687082066869301,0.2373058795928955
synth_high_corr,Mutual Info,0.2,456,0.776860081964309,0.25448107719421387
synth_high_corr,Mutual Info,0.3,42,0.7898131137155527,0.22054195404052734
synth_high_corr,Mutual Info,0.3,123,0.7889447708578142,0.21181011199951172
synth_high_corr,Mutual Info,0.3,456,0.8020446928578693,0.21160411834716797
synth_high_corr,Mutual Info,0.5,42,0.8010434782608696,0.22622108459472656
synth_high_corr,Mutual Info,0.5,123,0.7872819241896426,0.22343993186950684
synth_high_corr,Mutual Info,0.5,456,0.7988680008085709,0.2194080352783203
synth_high_corr,Mutual Info,0.7,42,0.800483660947102,0.22689509391784668
synth_high_corr,Mutual Info,0.7,123,0.7881409608516947,0.21692705154418945
synth_high_corr,Mutual Info,0.7,456,0.8020446928578693,0.21752691268920898
synth_high_corr,Mutual Info,0.9,42,0.7940036836023143,0.20316314697265625
synth_high_corr,Mutual Info,0.9,123,0.7866491754122938,0.22098684310913086
synth_high_corr,Mutual Info,0.9,456,0.7990069988634324,0.21167588233947754
