dataset,method,budget,seed,f1,time
synth_scalability,PCA-Triage,0.1,42,0.5720841905364773,0.07645106315612793
synth_scalability,PCA-Triage,0.1,123,0.565435026384302,0.08554220199584961
synth_scalability,PCA-Triage,0.1,456,0.590400694066441,0.0914311408996582
synth_scalability,PCA-Triage,0.2,42,0.6773115409763618,0.10039114952087402
synth_scalability,PCA-Triage,0.2,123,0.6504641360770648,0.10138392448425293
synth_scalability,PCA-Triage,0.2,456,0.6789524119916137,0.10316991806030273
synth_scalability,PCA-Triage,0.3,42,0.7446567051257802,0.10837483406066895
synth_scalability,PCA-Triage,0.3,123,0.7391621382315665,0.10835886001586914
synth_scalability,PCA-Triage,0.3,456,0.7316480311132718,0.11005806922912598
synth_scalability,PCA-Triage,0.5,42,0.8432353554304775,0.11028528213500977
synth_scalability,PCA-Triage,0.5,123,0.8574975259987152,0.11010384559631348
synth_scalability,PCA-Triage,0.5,456,0.8533003259066624,0.11078310012817383
synth_scalability,PCA-Triage,0.7,42,0.9424980433361969,0.10662126541137695
synth_scalability,PCA-Triage,0.7,123,0.9391595263610797,0.12711215019226074
synth_scalability,PCA-Triage,0.7,456,0.9383305924707764,0.10409092903137207
synth_scalability,PCA-Triage,0.9,42,0.9716665879627444,0.10233330726623535
synth_scalability,PCA-Triage,0.9,123,0.9733332592590535,0.10022306442260742
synth_scalability,PCA-Triage,0.9,456,0.97583130249139,0.09959816932678223
synth_scalability,Uniform,0.1,42,0.6060363247863249,0.010360240936279297
synth_scalability,Uniform,0.1,123,0.5713316904769214,0.009765148162841797
synth_scalability,Uniform,0.1,456,0.5941641301924803,0.010976076126098633
synth_scalability,Uniform,0.2,42,0.6657941105588087,0.01454305648803711
synth_scalability,Uniform,0.2,123,0.6624941405232729,0.014542102813720703
synth_scalability,Uniform,0.2,456,0.6629953926020259,0.012411832809448242
synth_scalability,Uniform,0.3,42,0.7574621034536646,0.013899087905883789
synth_scalability,Uniform,0.3,123,0.7441579609306149,0.013812065124511719
synth_scalability,Uniform,0.3,456,0.7541173193786809,0.013551950454711914
synth_scalability,Uniform,0.5,42,0.8616651296125512,0.01650381088256836
synth_scalability,Uniform,0.5,123,0.8658257860337977,0.015845775604248047
synth_scalability,Uniform,0.5,456,0.8824901259064132,0.015738964080810547
