dataset,method,budget,seed,f1,time
TEP,PCA-Triage,0.1,42,0.8971148466040038,0.6836638450622559
TEP,PCA-Triage,0.1,123,0.9117102510814172,0.6774458885192871
TEP,PCA-Triage,0.1,456,0.915179127022955,0.6816246509552002
TEP,PCA-Triage,0.2,42,0.9098953149478948,0.6818833351135254
TEP,PCA-Triage,0.2,123,0.9178753276010604,0.6899380683898926
TEP,PCA-Triage,0.2,456,0.9165255753409084,0.6914629936218262
TEP,PCA-Triage,0.3,42,0.9212834497233414,0.6981818675994873
TEP,PCA-Triage,0.3,123,0.9237700161668512,0.700247049331665
TEP,PCA-Triage,0.3,456,0.928129926577555,0.7007207870483398
TEP,PCA-Triage,0.4,42,0.945552230443441,0.6959807872772217
TEP,PCA-Triage,0.4,123,0.946560877112628,0.6926958560943604
TEP,PCA-Triage,0.4,456,0.9367665298450478,0.7011508941650391
TEP,PCA-Triage,0.5,42,0.9619295376871752,0.6952388286590576
TEP,PCA-Triage,0.5,123,0.9631487474393756,0.7026119232177734
TEP,PCA-Triage,0.5,456,0.9595853856916214,0.8759782314300537
TEP,PCA-Triage,0.6,42,0.9637228758831126,0.7252750396728516
TEP,PCA-Triage,0.6,123,0.9656376308799834,0.6962990760803223
TEP,PCA-Triage,0.6,456,0.9585747440146536,0.6916100978851318
TEP,PCA-Triage,0.7,42,0.9622880496953514,0.6994857788085938
TEP,PCA-Triage,0.7,123,0.9647167641980172,0.6920270919799805
TEP,PCA-Triage,0.7,456,0.9616363775551744,0.696213960647583
TEP,PCA-Triage,0.8,42,0.9625030155398608,0.746891975402832
TEP,PCA-Triage,0.8,123,0.9637098537819314,0.6901280879974365
TEP,PCA-Triage,0.8,456,0.9614868189057736,0.6940362453460693
TEP,PCA-Triage,0.9,42,0.9629668779961208,0.695605993270874
TEP,PCA-Triage,0.9,123,0.96387143843712,0.7003040313720703
TEP,PCA-Triage,0.9,456,0.961446895906649,0.6993880271911621
TEP,Uniform,0.1,42,0.9281079661004512,0.0405139923095703
TEP,Uniform,0.1,123,0.9219478969483708,0.035118818283081
TEP,Uniform,0.1,456,0.9108849872963956,0.0363528728485107
TEP,Uniform,0.2,42,0.9212667632970906,0.0383570194244384
TEP,Uniform,0.2,123,0.9170115395930388,0.0372791290283203
TEP,Uniform,0.2,456,0.9163842445927908,0.039017915725708
TEP,Uniform,0.3,42,0.9167840265090192,0.0405108928680419
TEP,Uniform,0.3,123,0.9176199243258216,0.043149709701538
TEP,Uniform,0.3,456,0.9202523003847456,0.0447158813476562
TEP,Uniform,0.4,42,0.9167373328279632,0.0465061664581298
TEP,Uniform,0.4,123,0.9191646119487246,0.0466179847717285
TEP,Uniform,0.4,456,0.9223508579182992,0.0489130020141601
TEP,Uniform,0.5,42,0.920194014291504,0.0488438606262207
TEP,Uniform,0.5,123,0.9226974740518702,0.0494329929351806
TEP,Uniform,0.5,456,0.9243082722467236,0.054621934890747
TEP,Uniform,0.6,42,0.925398438307504,0.047321081161499
TEP,Uniform,0.6,123,0.9269903389751256,0.0491769313812255
TEP,Uniform,0.6,456,0.9298017854444756,0.0497441291809082
TEP,Uniform,0.7,42,0.93108512535941,0.0456571578979492
TEP,Uniform,0.7,123,0.9334738591898072,0.0732369422912597
TEP,Uniform,0.7,456,0.934904294196325,0.0477387905120849
TEP,Uniform,0.8,42,0.9390584405814498,0.0401232242584228
TEP,Uniform,0.8,123,0.9412597437486347,0.0436611175537109
TEP,Uniform,0.8,456,0.9401062733647086,0.0401778221130371
TEP,Uniform,0.9,42,0.948943554529862,0.0384299755096435
TEP,Uniform,0.9,123,0.949860463700088,0.0357289314270019
TEP,Uniform,0.9,456,0.9507969490862108,0.0371820926666259
TEP,Threshold,0.1,42,0.9099113681013709,0.2328970432281494
TEP,Threshold,0.1,123,0.9160894798590652,0.256678819656372
TEP,Threshold,0.1,456,0.9159925219890082,0.2556090354919433
TEP,Threshold,0.2,42,0.9146608142151226,0.2384331226348877
TEP,Threshold,0.2,123,0.9175327160724468,0.2533860206604004
TEP,Threshold,0.2,456,0.9185372813042526,0.2453413009643554
TEP,Threshold,0.3,42,0.9205784469670116,0.2441408634185791
TEP,Threshold,0.3,123,0.9197945159784036,0.2453827857971191
TEP,Threshold,0.3,456,0.9199627240363252,0.2519958019256592
TEP,Threshold,0.4,42,0.9375342532089552,0.2425930500030517
TEP,Threshold,0.4,123,0.9381003344969088,0.2404351234436035
TEP,Threshold,0.4,456,0.9293257405059157,0.2544569969177246
TEP,Threshold,0.5,42,0.959296591685396,0.2307460308074951
TEP,Threshold,0.5,123,0.9591803705127492,0.2399470806121826
TEP,Threshold,0.5,456,0.9536086119933328,0.2351250648498535
