dataset,method,budget,seed_idx,f1
tep,PCA-Triage-v2,0.5,0,0.9737539628251173
tep,PCA-Triage-v2,0.5,1,0.9731330501511901
tep,PCA-Triage-v2,0.5,2,0.9687313899114632
tep,PCA-Triage-v2,0.5,3,0.9685657298713515
tep,PCA-Triage-v2,0.5,4,0.970104665710579
tep,Uniform,0.5,0,0.9195929134860945
tep,Uniform,0.5,1,0.9225162676693784
tep,Uniform,0.5,2,0.9248995213687398
tep,Uniform,0.5,3,0.9243267439537892
tep,Uniform,0.5,4,0.926779718774559
tep,Threshold,0.5,0,0.9589694187282267
tep,Threshold,0.5,1,0.9618258468605646
tep,Threshold,0.5,2,0.9518664334775333
tep,Threshold,0.5,3,0.9565658466080909
tep,Threshold,0.5,4,0.9626866125906354
tep,Variance,0.5,0,0.9508752163325767
tep,Variance,0.5,1,0.9487460071199407
tep,Variance,0.5,2,0.9491183169653861
tep,Variance,0.5,3,0.9483438822915404
tep,Variance,0.5,4,0.9507569536237198
tep,Random Dropout,0.5,0,0.789624589869943
tep,Random Dropout,0.5,1,0.7887429704924644
tep,Random Dropout,0.5,2,0.7818372080808842
tep,Random Dropout,0.5,3,0.7895301272469367
tep,Random Dropout,0.5,4,0.7877906178416862
tep,Mutual Info,0.5,0,0.9111572447904153
tep,Mutual Info,0.5,1,0.9117505867373444
tep,Mutual Info,0.5,2,0.916470998463995
tep,Mutual Info,0.5,3,0.9185215195634157
tep,Mutual Info,0.5,4,0.9143750635901335
tep,Full Data,0.5,0,0.9613362152574616
tep,Full Data,0.5,1,0.9617396568934886
tep,Full Data,0.5,2,0.9616240981107022
tep,Full Data,0.5,3,0.9617924796988938
tep,Full Data,0.5,4,0.9614957253635664
smd,PCA-Triage-v2,0.5,0,0.9869857074576356
smd,PCA-Triage-v2,0.5,1,0.9870096622388507
smd,PCA-Triage-v2,0.5,2,0.9868846179737805
smd,PCA-Triage-v2,0.5,3,0.9871242873112712
smd,PCA-Triage-v2,0.5,4,0.9871443655546301
smd,Uniform,0.5,0,0.9678312754394225
smd,Uniform,0.5,1,0.9675629417625886
smd,Uniform,0.5,2,0.9672704104390137
smd,Uniform,0.5,3,0.9672740178860872
smd,Uniform,0.5,4,0.9676600377230551
smd,Threshold,0.5,0,0.9806185022448781
smd,Threshold,0.5,1,0.9813100823056209
smd,Threshold,0.5,2,0.9811339069396456
smd,Threshold,0.5,3,0.9808188068161622
smd,Threshold,0.5,4,0.9812622334185631
smd,Variance,0.5,0,0.9775926162356885
smd,Variance,0.5,1,0.9774282097855889
smd,Variance,0.5,2,0.9774489440674944
smd,Variance,0.5,3,0.9774494863936448
smd,Variance,0.5,4,0.9769535399045256
smd,Random Dropout,0.5,0,0.9801735967944739
smd,Random Dropout,0.5,1,0.9799763011611367
smd,Random Dropout,0.5,2,0.9798936958494738
smd,Random Dropout,0.5,3,0.9795831932846698
smd,Random Dropout,0.5,4,0.9798134711945092
smd,Mutual Info,0.5,0,0.9861367293413946
smd,Mutual Info,0.5,1,0.9862544155687271
smd,Mutual Info,0.5,2,0.9864672739854653
smd,Mutual Info,0.5,3,0.9865416766629914
smd,Mutual Info,0.5,4,0.9861007908789261
smd,Full Data,0.5,0,0.9938032485569267
smd,Full Data,0.5,1,0.9940310089899489
smd,Full Data,0.5,2,0.9938926677696693
smd,Full Data,0.5,3,0.993946319297315
smd,Full Data,0.5,4,0.9938670740868673
msl,PCA-Triage-v2,0.5,0,0.9182710955015121
msl,PCA-Triage-v2,0.5,1,0.9179961517700248
msl,PCA-Triage-v2,0.5,2,0.9184012086976557
msl,PCA-Triage-v2,0.5,3,0.9182268122477815
msl,PCA-Triage-v2,0.5,4,0.9176625441835748
msl,Uniform,0.5,0,0.9126095505862363
msl,Uniform,0.5,1,0.9112963752698245
msl,Uniform,0.5,2,0.9124403611563231
msl,Uniform,0.5,3,0.9121894749971813
msl,Uniform,0.5,4,0.913027708039638
msl,Threshold,0.5,0,0.9110600857312007
msl,Threshold,0.5,1,0.9141349089598976
msl,Threshold,0.5,2,0.9123023868308612
msl,Threshold,0.5,3,0.9117658107145615
msl,Threshold,0.5,4,0.9117854253613662
msl,Variance,0.5,0,0.9168357337894825
msl,Variance,0.5,1,0.9156821412076636
msl,Variance,0.5,2,0.9163912262835123
msl,Variance,0.5,3,0.9174436937975787
msl,Variance,0.5,4,0.9176627391165749
msl,Random Dropout,0.5,0,0.9145242668541382
msl,Random Dropout,0.5,1,0.9136926263246813
msl,Random Dropout,0.5,2,0.913566252581689
msl,Random Dropout,0.5,3,0.9135076665455575
msl,Random Dropout,0.5,4,0.9140876108168705
msl,Mutual Info,0.5,0,0.9285858363496293
msl,Mutual Info,0.5,1,0.9290600697220437
msl,Mutual Info,0.5,2,0.928085872672355
msl,Mutual Info,0.5,3,0.9295048663309546
msl,Mutual Info,0.5,4,0.9294083915244223
msl,Full Data,0.5,0,0.9303660883450614
msl,Full Data,0.5,1,0.9303263323861976
msl,Full Data,0.5,2,0.930102095173878
msl,Full Data,0.5,3,0.930420754676979
msl,Full Data,0.5,4,0.9301182394194675
psm,PCA-Triage-v2,0.5,0,0.96805607699882
psm,PCA-Triage-v2,0.5,1,0.9679179668031983
psm,PCA-Triage-v2,0.5,2,0.9683339045344146
psm,PCA-Triage-v2,0.5,3,0.9663969384468836
psm,PCA-Triage-v2,0.5,4,0.9679810587375967
psm,Uniform,0.5,0,0.8980097527688993
psm,Uniform,0.5,1,0.8979990916663808
psm,Uniform,0.5,2,0.8988534795348591
psm,Uniform,0.5,3,0.8975991486076411
psm,Uniform,0.5,4,0.8965973833186924
psm,Threshold,0.5,0,0.9295627367745375
psm,Threshold,0.5,1,0.9283931379288485
psm,Threshold,0.5,2,0.9299456712948521
psm,Threshold,0.5,3,0.9273139140513613
psm,Threshold,0.5,4,0.9289104483780063
psm,Variance,0.5,0,0.9100127798991553
psm,Variance,0.5,1,0.9099116746176684
psm,Variance,0.5,2,0.9104914206073342
psm,Variance,0.5,3,0.909769230437654
psm,Variance,0.5,4,0.9094338751804731
psm,Random Dropout,0.5,0,0.9608923332020645
psm,Random Dropout,0.5,1,0.9613405289948608
psm,Random Dropout,0.5,2,0.9614348065370159
psm,Random Dropout,0.5,3,0.9614703286205628
psm,Random Dropout,0.5,4,0.9616317313420839
psm,Mutual Info,0.5,0,0.9959934733413756
psm,Mutual Info,0.5,1,0.9960707323731598
psm,Mutual Info,0.5,2,0.9960697641631954
psm,Mutual Info,0.5,3,0.9961316512510954
psm,Mutual Info,0.5,4,0.9962397630187171
psm,Full Data,0.5,0,0.9977678642029341
psm,Full Data,0.5,1,0.9978134844577008
psm,Full Data,0.5,2,0.9977677284752122
psm,Full Data,0.5,3,0.9977677284752122
psm,Full Data,0.5,4,0.9977374950084162
hai,PCA-Triage-v2,0.5,0,0.9989318219866807
hai,PCA-Triage-v2,0.5,1,0.9989623021455666
hai,PCA-Triage-v2,0.5,2,0.9991363809564539
hai,PCA-Triage-v2,0.5,3,0.9989710868717866
hai,PCA-Triage-v2,0.5,4,0.9990806855886581
hai,Uniform,0.5,0,0.9982047967320207
hai,Uniform,0.5,1,0.9985172257483985
hai,Uniform,0.5,2,0.9985762094468732
hai,Uniform,0.5,3,0.9984982099866627
hai,Uniform,0.5,4,0.9982775561471359
hai,Threshold,0.5,0,0.9997251438015369
hai,Threshold,0.5,1,0.9997506250746422
hai,Threshold,0.5,2,0.9997634178832447
hai,Threshold,0.5,3,0.9997251438015369
hai,Threshold,0.5,4,0.9997235978264705
hai,Variance,0.5,0,1.0
hai,Variance,0.5,1,1.0
hai,Variance,0.5,2,1.0
hai,Variance,0.5,3,1.0
hai,Variance,0.5,4,1.0
hai,Random Dropout,0.5,0,0.9995976105827095
hai,Random Dropout,0.5,1,0.999569495385774
hai,Random Dropout,0.5,2,0.999653321729188
hai,Random Dropout,0.5,3,0.9996671434885275
hai,Random Dropout,0.5,4,0.9996946622881969
hai,Mutual Info,0.5,0,0.9999871230689271
hai,Mutual Info,0.5,1,1.0
hai,Mutual Info,0.5,2,1.0
hai,Mutual Info,0.5,3,0.9999871230689271
hai,Mutual Info,0.5,4,0.9999871230689271
hai,Full Data,0.5,0,1.0
hai,Full Data,0.5,1,1.0
hai,Full Data,0.5,2,1.0
hai,Full Data,0.5,3,1.0
hai,Full Data,0.5,4,1.0
skab,PCA-Triage-v2,0.5,0,0.5577670102925567
skab,PCA-Triage-v2,0.5,1,0.5604411935597075
skab,PCA-Triage-v2,0.5,2,0.5415851418422691
skab,PCA-Triage-v2,0.5,3,0.5395929492014336
skab,PCA-Triage-v2,0.5,4,0.5566635099424729
skab,Uniform,0.5,0,0.5896531535029186
skab,Uniform,0.5,1,0.5843435770798252
skab,Uniform,0.5,2,0.6025895270058559
skab,Uniform,0.5,3,0.5762381171962162
skab,Uniform,0.5,4,0.5917317742583887
skab,Threshold,0.5,0,0.5496075964965192
skab,Threshold,0.5,1,0.5708619550084544
skab,Threshold,0.5,2,0.58462282419438
skab,Threshold,0.5,3,0.5733413102038015
skab,Threshold,0.5,4,0.5632910396566703
skab,Variance,0.5,0,0.5459593018782212
skab,Variance,0.5,1,0.5842009622419916
skab,Variance,0.5,2,0.5758339686560271
skab,Variance,0.5,3,0.6218509576357247
skab,Variance,0.5,4,0.5759785685921592
skab,Random Dropout,0.5,0,0.5243508637127772
skab,Random Dropout,0.5,1,0.5435694916622723
skab,Random Dropout,0.5,2,0.5246376798151394
skab,Random Dropout,0.5,3,0.5298835967528247
skab,Random Dropout,0.5,4,0.5169452744825064
skab,Mutual Info,0.5,0,0.5847071565300566
skab,Mutual Info,0.5,1,0.5832773417434014
skab,Mutual Info,0.5,2,0.5877040956008099
skab,Mutual Info,0.5,3,0.5764970156202055
skab,Mutual Info,0.5,4,0.5997726362005079
skab,Full Data,0.5,0,0.5939048740237981
skab,Full Data,0.5,1,0.5778564663230055
skab,Full Data,0.5,2,0.5748824033602471
skab,Full Data,0.5,3,0.5848462089921439
skab,Full Data,0.5,4,0.5808395684426569
