dataset,method,f1_mean,f1_std,rank
tep,PCA-Triage-v2,0.9708577596939403,0.0021866384680204716,1
tep,Threshold,0.9583828316530102,0.003911159631366303,2
tep,Variance,0.9495680752666328,0.0010486921876164,3
tep,Uniform,0.9236230330505121,0.002431299633313083,4
tep,Mutual Info,0.9144550826290608,0.0027855434471401705,5
tep,Random Dropout,0.787505102706383,0.002909701540034787,6
smd,PCA-Triage-v2,0.9870297281072336,9.537357591031425e-05,1
smd,Mutual Info,0.9863001772875009,0.0001759588365207995,2
smd,Threshold,0.9810287063449741,0.0002672450958873577,3
smd,Random Dropout,0.9798880516568527,0.0001938332943481039,4
smd,Variance,0.9773745592773885,0.0002185551171529297,5
smd,Uniform,0.9675197366500334,0.00021961273214119977,6
msl,Mutual Info,0.928929007319881,0.0005305172038947263,1
msl,PCA-Triage-v2,0.9181115624801098,0.0002598327492177453,2
msl,Variance,0.9168031068389624,0.0007178569997811432,3
msl,Random Dropout,0.9138756846245872,0.0003821694535920979,4
msl,Uniform,0.9123126940098405,0.0005768456459809601,5
msl,Threshold,0.9122097235195774,0.001040546012328245,6
psm,Mutual Info,0.9961010768295087,8.203466839535986e-05,1
psm,PCA-Triage-v2,0.9677371891041826,0.0006850085536658118,2
psm,Random Dropout,0.9613539457393177,0.00024920450571234537,3
psm,Threshold,0.928825181685521,0.0009249158396890688,4
psm,Variance,0.9099237961484571,0.00034472472482807086,5
psm,Uniform,0.8978117711792946,0.0007320366393442154,6
hai,Variance,1.0,0.0,1
hai,Mutual Info,0.9999922738413562,6.308382116309334e-06,2
hai,Threshold,0.9997375856774863,1.6386514350882058e-05,3
hai,Random Dropout,0.999636446694879,4.605830354648831e-05,4
hai,PCA-Triage-v2,0.9990164555098293,7.8308810735213e-05,5
hai,Uniform,0.9984147996122182,0.00014590306169523677,6
skab,Uniform,0.588911229808641,0.008684157653045328,1
skab,Mutual Info,0.5863916491389963,0.0076316908851246906,2
skab,Variance,0.5807647518008248,0.024324980446226677,3
skab,Threshold,0.5683449451119651,0.011600849484925476,4
skab,PCA-Triage-v2,0.5512099609676879,0.008781159980451583,5
skab,Random Dropout,0.527877381285104,0.008862394479348985,6
