dataset,perturbation,pca_f1,pca_std,var_f1,var_std,uni_f1,uni_std,pca_wins
tep,Clean (baseline),0.9718728009625902,0.0022357296618431394,0.9495798468059679,0.0009284899256692702,0.9223362341747375,0.002170150662885358,True
tep,Jitter (±5 samples),0.9009746669975242,0.001104482672989101,0.9083406318133442,0.001321057241586882,0.9210007142409218,0.004654948497847576,False
tep,Packet loss (5%),0.9724411894051862,0.003711665816227156,0.9504580194883635,0.0010455684444157052,0.9228978970323213,0.0024684165606216947,True
tep,Packet loss (10%),0.9717775448563911,0.003423791815003986,0.9486218116069672,0.0012490165928023913,0.9208417364911359,0.0019043821964171382,True
tep,Sensor noise (σ=0.1),0.96620766569385,0.0038258256256142207,0.9442305583533378,0.001906018963218606,0.9203157691532642,0.002534540930911307,True
tep,Sensor noise (σ=0.3),0.8890258589840276,0.0034250117688446676,0.8863679781277803,0.0037284720403234334,0.8736112957684977,0.0025548667515833258,True
tep,Clock drift (±3),0.9034123402168813,0.002814193235928842,0.9098776930255035,0.0016293018453469481,0.9174648540676072,0.0014724907116319271,False
tep,Combined (all),0.9253835578247918,0.03403746779184657,0.9224074628652481,0.019168234731311837,0.9185233783704237,0.0034332745042993168,True
smd,Clean (baseline),0.9869599958900889,5.418997807723975e-05,0.9774899233629238,7.31065304835622e-05,0.9675548758803417,0.0002290431997290666,True
smd,Jitter (±5 samples),0.9499324747397132,0.00012637556785431568,0.9540191278855623,0.00029734056861565467,0.9544181468850486,3.445736022557255e-05,False
smd,Packet loss (5%),0.9848228728471279,4.6349079191630175e-05,0.9760418297035995,0.0001418524678030484,0.9667327876787173,0.00028777149357355825,True
smd,Packet loss (10%),0.9827893027191498,0.00021846509651896143,0.9746560525602916,8.739420639819958e-05,0.9659544598239678,0.00032049808076354365,True
smd,Sensor noise (σ=0.1),0.9816621168807828,8.015430521082481e-05,0.9741271116601594,6.170391333808084e-05,0.9662500639056005,8.041328596055385e-05,True
smd,Sensor noise (σ=0.3),0.9763843263117636,0.00045616973427321415,0.9719027597816599,6.936860877917932e-05,0.9654680108667547,0.0001403640431546559,True
smd,Clock drift (±3),0.9545993334713528,0.006066209293359384,0.9548128337472863,0.001786857490926845,0.9548539583422468,0.00035270226175010237,False
smd,Combined (all),0.9504544829092053,0.0001345151555634107,0.9546952053146683,0.00017406802688163967,0.9547378671117741,0.00015592593032081247,False
psm,Clean (baseline),0.9681026494454775,0.00017296973464182662,0.910138625041386,0.0002528558258516693,0.8982874413233798,0.0004002731212707791,True
psm,Jitter (±5 samples),0.8320476672542824,0.0014703738502510563,0.8340073101482027,0.0017946776249975894,0.8352848790197025,0.0009702933560810627,False
psm,Packet loss (5%),0.9599078043231083,0.0006000945782034221,0.9053502797834992,0.0005145070215414789,0.8946084515964515,0.000400093808430766,True
psm,Packet loss (10%),0.9518665538839062,0.00045215633731362647,0.9010422955145753,0.0005848515185238431,0.890770439677078,0.0006023242531624671,True
psm,Sensor noise (σ=0.1),0.9265431168070668,0.00011060908641552865,0.8960893676847838,0.00039418723798842573,0.8853367402757657,0.0007743745665040661,True
psm,Sensor noise (σ=0.3),0.8861658523927988,0.0008589170363107723,0.8766566811243979,0.000284663540467738,0.867261264088499,0.0008657583651686284,True
psm,Clock drift (±3),0.8358101699500935,0.003042186708387178,0.8423899884875011,0.007069118249625123,0.8407859074381779,0.005313006988986557,False
psm,Combined (all),0.8566022305238404,0.010779114013194532,0.8444360565614795,0.004020107108913627,0.8416903277951543,0.003638937370873439,True
