,,,,precision,precision,recall,recall,fpr,fpr,event_recall,event_recall,missed_events,missed_events,mean_detection_delay,mean_detection_delay,false_alarms_per_1000,false_alarms_per_1000,mae,mae,rmse,rmse,nrmse_mean,nrmse_mean,transmitted_values,transmitted_values,transmitted_payload_bytes,transmitted_payload_bytes,realized_bandwidth,realized_bandwidth,max_window_excess_values,max_window_excess_values,f1,f1,specificity,specificity,n_events,n_events
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,method,protocol,budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psm,Full Data,fixed_full_data,1.0,0.9634790479998581,0.02576191626139068,0.01839137032935476,0.003543942454139247,0.0002836432398360532,0.00022089262163370755,0.21388888888888885,0.0158357697930436,56.6,1.1401754250991383,629.1848389355742,95.825862735314,0.15482519552373034,0.0964639298929423,0.0,0.0,0.0,0.0,0.0,0.0,2196025.0,0.0,8784100.0,0.0,1.0,0.0,0.0,0.0,0.0360716429549734,0.0067925598886036465,0.9997163567601639,0.00022089262163373956,72.0,0.0
psm,Full Data,method_retrained,1.0,0.9634790479998581,0.02576191626139068,0.01839137032935476,0.003543942454139247,0.0002836432398360532,0.00022089262163370755,0.21388888888888885,0.0158357697930436,56.6,1.1401754250991383,629.1848389355742,95.825862735314,0.15482519552373034,0.0964639298929423,0.0,0.0,0.0,0.0,0.0,0.0,2196025.0,0.0,8784100.0,0.0,1.0,0.0,0.0,0.0,0.0360716429549734,0.0067925598886036465,0.9997163567601639,0.00022089262163373956,72.0,0.0
psm,PCA-Triage,fixed_full_data,0.3,0.9729172572874087,0.01957865365138595,0.0175792625405028,0.0038138502414953868,0.00020800504254646783,0.00019440492295355366,0.12222222222222223,0.02060055135304352,63.2,1.4832396974191326,967.3439754689755,270.656525306253,0.05009050443414801,0.02968637608953744,0.10862859661529782,0.0004354310301029266,0.290367404435863,0.009201465379698785,0.01666756255446048,0.00013486256680724274,658807.0,0.0,2635228.0,0.0,0.2999997723158889,0.0,0.0,0.0,0.03450828610835406,0.007310888460804139,0.9997919949574536,0.00019440492295363004,72.0,0.0
psm,PCA-Triage,fixed_full_data,0.5,0.9699857647398511,0.023417536131085243,0.017759730938025457,0.0035538259640180616,0.00022376300031512784,0.00018591719134888955,0.14444444444444443,0.02106354290014317,61.6,1.51657508881031,1053.611452991453,302.4096758804379,0.07968943887250826,0.07109434089318652,0.06876447066034612,0.000316098760372451,0.2224695231104691,0.011218428899437586,0.01342569823532172,7.43409555036218e-05,1098012.0,0.0,4392048.0,0.0,0.4999997723158889,0.0,0.0,0.0,0.03485915281598534,0.006819703835433475,0.9997762369996849,0.00018591719134894446,72.0,0.0
psm,PCA-Triage,fixed_full_data,0.7,0.9692418062651867,0.024170344638528907,0.01798121488043962,0.0034069576621929437,0.00022691459186887172,0.00018564987677305517,0.18055555555555552,0.025983731852596774,59.0,1.8708286933869707,758.7419913419914,54.96008598193982,0.11156521442151154,0.06509934292868157,0.033358004279840335,0.00013061914461180417,0.14453694695854835,0.010124344369410404,0.00989645327177296,7.896790933250853e-05,1537217.0,0.0,6148868.0,0.0,0.699999772315889,0.0,0.0,0.0,0.035288388288944664,0.006542196969387187,0.9997730854081311,0.00018564987677308328,72.0,0.0
psm,PCA-Triage,method_retrained,0.3,0.9917759364137687,0.01084111468802758,0.015323407571469522,0.0007998557076879332,5.0425464859747815e-05,6.814291935214525e-05,0.09444444444444441,0.024845199749997684,65.2,1.788854381999831,826.4029365079365,131.66276170919846,0.0227684111064309,0.026698328569935596,0.10862859661529782,0.0004354310301029266,0.290367404435863,0.009201465379698785,0.01666756255446048,0.00013486256680724274,658807.0,0.0,2635228.0,0.0,0.2999997723158889,0.0,0.0,0.0,0.03017932410110118,0.0015497958986545235,0.9999495745351403,6.814291935217806e-05,72.0,0.0
psm,PCA-Triage,method_retrained,0.5,0.9756244643051577,0.03074117007590025,0.01572535991140638,0.0006264780438906334,0.0001512763945792371,0.00018962003096738853,0.1388888888888889,0.025983731852596798,62.0,1.87082869338697,906.806794871795,359.6204670579877,0.04553682221286184,0.046242861560296195,0.06876447066034612,0.000316098760372451,0.2224695231104691,0.011218428899437586,0.01342569823532172,7.43409555036218e-05,1098012.0,0.0,4392048.0,0.0,0.4999997723158889,0.0,0.0,0.0,0.03095154572186708,0.0012246538866763485,0.9998487236054208,0.00018962003096746133,72.0,0.0
psm,PCA-Triage,method_retrained,0.7,0.9801692041397306,0.015893259283731358,0.01606989048849508,0.0006884016601796317,0.00012291207059563029,9.48100154837066e-05,0.1666666666666666,0.01701034543599428,60.0,1.2247448713915896,742.201794871795,405.5061755553715,0.07285891554057897,0.039925952383853054,0.033358004279840335,0.00013061914461180417,0.14453694695854835,0.010124344369410404,0.00989645327177296,7.896790933250853e-05,1537217.0,0.0,6148868.0,0.0,0.699999772315889,0.0,0.0,0.0,0.031621028606560034,0.0013406754137351624,0.9998770879294044,9.481001548362688e-05,72.0,0.0
