dataset,method,f1_mean,f1_std
tep,PCA-Triage,0.9614192778258726,0.0015208899055456774
tep,Uniform,0.9236090714984039,0.002394151717487013
tep,Threshold,0.9576520960483087,0.003000065117382109
tep,Variance,0.9477705185226195,0.004054719023295855
tep,Random Dropout,0.7879346692920124,0.002473797793953418
tep,Mutual Info,0.9135950911364115,0.002913273787070239
skab,PCA-Triage,0.5634882649883273,0.018939376229571925
skab,Uniform,0.5864219227816988,0.012623350505017988
skab,Threshold,0.5706744741307386,0.016518599357638337
skab,Variance,0.5839371093171439,0.020849909400334793
skab,Random Dropout,0.5284207471647684,0.01119857114128208
skab,Mutual Info,0.5879575585780683,0.010606170965650651
smd,PCA-Triage,0.9830878381826612,0.00015520384464985765
smd,Uniform,0.9675077793901483,0.00016373953259326334
smd,Threshold,0.9809435711752656,0.0003290829947799134
smd,Variance,0.9772885336396057,0.00011843862143515477
smd,Random Dropout,0.9799376724478096,0.00013435338069585795
smd,Mutual Info,0.9859807265182333,4.663856552374548e-05
msl,PCA-Triage,0.9173611299098865,0.0001750514301792523
msl,Uniform,0.9120815168548769,0.0008431603777213581
msl,Threshold,0.9123771124270675,0.0014922716657563642
msl,Variance,0.9165093419402006,0.0008078910270550167
msl,Random Dropout,0.9141648138579906,0.0005713653069333628
msl,Mutual Info,0.9292664067019333,0.0002133753847428091
psm,PCA-Triage,0.9434307394540692,0.0008463773169445747
psm,Uniform,0.8977300140275387,0.001146304783178594
psm,Threshold,0.9284631314364832,0.0006337388871093835
psm,Variance,0.9094936464744153,0.00040672999848327554
psm,Random Dropout,0.9610150508852012,0.000298888959618523
psm,Mutual Info,0.995471947096655,0.00017704322702759184
hai,PCA-Triage,0.999234267443145,1.6489878330816757e-05
hai,Uniform,0.9984120280853966,0.00012836388872515935
hai,Threshold,0.9997593609002452,2.7458299246422286e-05
hai,Variance,1.0,0.0
hai,Random Dropout,0.9996068092325573,4.2663512886347163e-05
hai,Mutual Info,0.9999914266920488,7.4247218716548535e-06
