param,value,f1_mean,f1_std
k,3.0,0.9618878746756486,0.003223417856782
k,5.0,0.9617800419302306,0.0027659529574857
k,8.0,0.9617853962620616,0.0018060870237181
k,10.0,0.9615545569393908,0.0014787031834789
k,15.0,0.955431912013517,0.0021571517274982
k,20.0,0.9387607613349488,0.0037117381491679
w,25.0,0.9588428746671716,0.000591086049908
w,50.0,0.9615545569393908,0.0014787031834789
w,100.0,0.9616673021377004,0.0039331666565137
w,200.0,0.9663904932902324,0.002193954261903
w,500.0,0.9657660791135289,0.0029631811138249
lambda,0.85,0.9416998272647708,0.0011109674958
lambda,0.9,0.941940863326218,0.0014936095701672
lambda,0.95,0.9409396295230328,0.0015015388966076
lambda,0.99,0.9391604877138175,0.0011827252086142
lambda,1.0,0.9615545569393908,0.0014787031834789
score_formula,Weighted (ours),0.9561096046411653,0.0009134244477890683
score_formula,Unweighted,0.9596984259880325,0.0013338477337008475
score_formula,Recon-based,0.9508124420642284,0.0013271739280491632
